Channel,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-10.841313,12.093169,-2.1498072,-1.3534147,4.164218,-2.3154223,0.9378123,-1.821131,2.5489442,-8.0850315,2.0612683,-3.129577,2.640877,0.9345024,-4.2024064,0.5758691,5.3381968,-2.8807821,2.5134883,-10.48705,-5.4332447,-12.297498,-5.8326263,-2.0452847,8.571489,12.94297,9.220423,-3.527655,-1.0886661,-3.5794005,-7.8547506,11.103203,4.708145,-0.3589651,-1.6271187,-12.889262,12.538512,-4.0330234,0.09181766,-9.015441,-4.0879903,-6.1394615,-4.0852757,0.02960006,5.0860662,-5.611573,3.440874,-8.40776,-0.36042628,-7.8671374,-6.973658,-4.0315557,4.5773654,-0.8614516,0.5314205,-0.96502656,-10.78901,-6.987348,1.0846512,-6.9808097,-6.077407,-2.1024735,-6.499432,-1.8070146,2.7501757,3.4067283,-1.5326838,9.763562,-2.72033,-5.0627885,-5.2748046,-5.1502514,-5.596236,1.6357633,-1.0284946,-4.060856,4.370909,-10.755127,-2.1373265,0.028015716,9.168895,12.863373,-10.958974,-2.0212233,-3.541999,0.06840834,2.931494,6.6843643,-0.6956581,-3.3951716,-1.0427363,-6.251894,4.186504,-3.2295115,2.0070791,-7.709723,10.842526,12.697771,4.751182,-1.8239985
1,-14.087795,0.4548699,-0.12835322,0.048690807,0.8431613,-1.3643262,-10.633489,0.055908985,-0.30950528,-7.596869,8.942846,-10.920656,-1.8692783,1.9057565,-6.6770806,-4.656256,7.451862,0.29510236,-1.7113502,-6.0314126,-12.574051,8.162483,-2.1259835,-1.9746085,6.7107368,-13.799179,-6.346287,-7.1109886,-1.5543058,-0.07700263,10.5347595,4.7035785,-5.880057,0.9057039,-3.898466,9.839761,-12.996275,-4.7366505,-0.30750805,6.426855,-2.6626096,-4.555904,7.5594087,0.018494628,4.5388513,-2.1757162,0.057729654,-1.7004948,0.5714814,0.81582004,-2.4005632,12.464804,5.418635,0.72465146,-4.148469,-2.2534547,10.682461,3.448288,1.7283745,4.2351136,-5.245721,2.2571268,-8.058593,1.30987,-0.93609923,4.937832,-7.305485,-0.6305113,-0.31249282,-0.71255565,7.5524087,-4.5196633,6.4052854,0.98810273,-0.77238816,2.082701,2.566047,-4.0028024,-1.3935157,0.6752383,-8.625868,-12.900717,10.593117,4.3908362,1.4589486,-11.214627,5.810468,-1.4262913,1.7703946,4.0608306,-5.9206786,-1.0082939,3.342155,0.19981064,2.0181527,-0.8808041,11.481457,4.5014615,-5.740461,-1.1486986
2,5.705681,-2.5275235,3.0723383,-1.9507319,4.0256505,-5.7972975,-4.9850373,-1.0311279,1.0597562,3.4759703,4.561762,-3.2384315,0.09400916,2.8956258,-3.8754725,-14.1243,4.764275,4.3839974,-0.08075987,2.9114246,8.556462,-5.1320777,-2.0750403,0.2462274,6.1213455,2.3461137,-2.037503,-5.67106,-1.0067265,-0.8094097,-13.66014,-7.808787,-0.14395225,0.81244105,8.165394,1.5116166,12.526203,-5.1292987,-0.22680998,5.6582093,-11.050636,-10.500674,-7.5665827,0.028665783,-3.3462536,10.125984,-9.176105,7.987193,-0.033629,0.7645119,3.6125588,-6.3464336,5.2901144,-0.024667433,0.3312016,-3.3550286,7.77457,2.7164145,0.19970071,-0.62365586,0.35830405,-4.869051,5.540045,1.7959074,0.15090959,3.795032,-13.883717,8.168352,2.0422707,-1.2378529,8.682434,3.9522285,-9.241142,1.2456038,-2.0459146,-1.0029738,7.570392,4.392315,2.926743,0.2875714,-10.382873,5.8668466,3.694451,-1.9223254,2.673194,2.0193205,-11.624605,5.0839033,-4.7283216,0.98998934,-11.360052,-4.5089736,-7.1023684,1.970985,-1.5231097,-0.7956731,-12.833866,10.885406,3.8461177,-1.9593176
3,14.236046,9.487048,4.8211203,4.0406704,1.6405625,4.1054444,-5.647261,-5.214363,-0.30553713,11.075648,-6.426347,-10.437696,-0.8782323,-0.033685092,-7.54913,8.708797,1.7446672,-3.1701367,-1.1361947,-7.168567,-7.2929626,6.8584213,-2.785642,0.983493,-1.7492783,-13.7509365,2.1709442,-2.8336987,0.3574371,3.7355642,-13.184317,-0.07137303,3.944269,0.46280956,-2.9219587,-5.810661,0.3197333,5.09155,0.16035993,-4.217274,-4.0199246,11.138571,8.750131,-0.02486086,4.2392745,3.588646,-11.391066,-5.1996517,0.5484996,6.328618,-7.9686346,-9.001974,-0.13975194,-0.08677127,6.7014675,-5.734088,-7.860785,-7.9174128,0.8267504,-4.596379,-8.018093,14.389489,2.5813916,0.17715348,-0.8477813,2.4051192,5.296185,0.41247922,0.31141675,-5.3318343,2.6725466,-2.366442,-6.1139216,-1.2886691,5.184175,-6.921655,-8.12653,3.271727,-3.1895487,4.96452,-10.250952,11.976225,1.2965693,-2.8214016,0.85635144,9.98336,-2.6602366,5.511631,-2.345884,-2.6881888,0.8578394,13.886191,-2.9468186,-1.6751767,3.5743206,4.770607,14.688031,-9.604591,0.56867015,1.8811249
4,11.311751,-10.251838,-0.35018653,-1.4210336,7.379549,4.1533685,5.263351,0.89967895,-0.53809303,-5.3006716,-7.92471,2.6030526,-0.44070297,0.45741457,8.221119,12.443068,-12.762701,-2.0697834,-0.88828427,2.340125,-3.2498853,2.7503636,1.1602656,-1.973839,-8.125257,-4.522164,2.2918916,0.67199177,1.1577762,-4.6348977,-4.124099,-13.3061495,-0.7510225,-0.8265178,1.2064253,2.0192213,-6.8526564,-0.9256815,-0.33555493,-7.135526,0.88259506,-6.6591086,-0.6667906,-0.07935612,5.985747,-6.990428,11.014757,6.4216413,-0.22048631,-3.601046,8.920118,-2.1740885,-6.532698,-0.60168564,1.1007513,-7.8289747,2.4729443,-2.4775426,1.3870986,5.136474,-9.99184,5.3400736,7.126983,-2.1811972,4.699952,-8.644142,-11.888693,7.9067783,-0.69526327,4.813126,-9.729881,2.2821052,2.52234,-1.7720835,-4.7393036,-4.9628534,7.5802298,-10.857948,3.197371,-0.7928319,-9.985995,9.240779,-3.3998964,0.29237768,1.9372603,5.1167846,-6.473446,-0.96291506,-0.16300765,-2.4257088,2.699639,-6.9907737,7.801669,-0.0923323,1.6111634,-1.6647612,-9.366631,-11.41553,2.3301163,-1.6802658
5,-5.0860906,-5.1188912,1.8622614,1.9924417,-5.544649,9.201315,-10.470883,-3.6698215,2.4451602,6.366068,-9.604742,-2.2576368,0.88121206,2.2634864,1.6255943,2.5697162,12.076313,5.359203,1.9534078,5.4592786,-1.9348832,5.869893,-3.0875294,0.10646098,2.7393634,-7.356732,-5.096048,-2.9294794,0.25455853,7.220724,0.14260481,12.621338,-4.686608,-0.7018408,8.674263,-4.4106607,-9.351942,6.1492977,-0.12959044,0.49062538,-12.250472,14.086391,-6.934133,0.05627999,0.37726033,-11.490893,12.0155525,7.8972077,0.65142405,-1.5094858,6.2827244,11.699231,-5.475842,-1.0662521,-5.4303446,-2.89122,14.592426,6.6842484,-0.8803547,6.219486,-10.071919,14.614036,6.056592,1.0024185,-1.445079,3.016634,7.756801,-6.405574,-0.24959846,1.8197007,10.230178,-0.103530325,3.1628084,2.0076258,2.7979314,-2.524369,12.6726055,-1.5748895,0.8252099,0.53475803,0.33067605,-12.208882,0.57976156,2.810428,0.05441269,-3.383472,-0.5702034,1.468016,-2.8159819,-0.62665665,8.900988,7.6592345,8.382516,1.8724015,2.3205626,4.44301,-9.753456,-7.3755007,1.7005515,2.926678
