Channel,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-10.933402,12.6014805,-2.2362688,-1.096887,5.309681,-2.9591234,0.97735244,-2.097733,1.414662,-8.483539,1.8928893,-3.1044762,2.9543266,0.85957056,-4.587858,1.3675169,5.7722507,-3.3046389,2.5593688,-10.141853,-4.724372,-12.469053,-5.676098,-1.9465045,9.262525,12.797821,6.7011266,-5.3131094,0.7590688,-1.8502467,-8.441681,10.287065,4.969085,-0.38912666,-1.3476615,-12.463546,7.8492575,-4.401933,1.5170528,-8.063878,-3.7776067,-7.591315,-4.871971,-0.0202741,5.197331,-6.2618837,5.6320286,-8.955238,-0.2610075,-7.481381,-6.6940775,-4.4634585,4.790688,-0.6564349,0.018016387,-1.031915,-10.656158,-7.081734,2.4054773,-6.8742228,-5.790327,-2.4391057,-6.5499744,-2.200494,3.161461,3.906869,-2.8747463,9.76482,-3.1570196,-6.1867113,-4.8997107,-5.14974,-6.077916,1.8342968,-0.7126755,-3.9469912,3.907311,-10.892601,-1.7951089,-0.145914,8.767823,13.230162,-10.662237,-2.143418,-3.5547736,0.5272312,3.129509,6.345799,-1.1411207,-3.7106998,-0.97552836,-6.6758122,4.6588364,-3.1317995,1.9164473,-6.7399297,10.82691,12.635673,4.52488,0.1697129
1,-14.815436,0.7448861,-0.50807434,1.074894,1.0078505,-0.9709288,-10.286171,-0.22223616,-0.4436546,-7.4873376,9.050828,-9.958401,-2.9621224,1.4728609,-6.534137,-4.478225,7.043914,-0.4826401,-0.80392843,-5.818074,-12.50278,7.685936,-2.1048832,-1.3277478,6.394692,-14.614897,-6.2492523,-7.203179,-1.8777498,-0.71794933,10.345925,5.0854673,-6.609338,1.9713825,-3.5582879,9.855833,-12.771953,-4.908041,-0.59866387,6.4616346,-2.085744,-3.8862703,7.890701,-0.51709294,4.987796,-1.9481598,0.2638701,-2.1145072,0.568956,0.617839,-2.6202443,12.627885,5.0980673,0.8920353,-4.0126276,-1.6718955,10.968976,2.612794,1.5160259,4.5020485,-5.084055,2.3157265,-6.990005,2.1141045,-0.85321283,5.045754,-7.3198876,-0.80969393,0.5949297,-0.6013358,7.6157393,-4.620808,6.3295918,0.4816961,-2.8041413,2.0141387,3.18688,-4.090111,-1.58213,0.99475914,-9.241458,-12.567262,10.038672,4.389411,1.312141,-11.630316,5.139751,-1.2732476,1.552618,4.1339517,-5.7370024,-1.0527638,3.5306964,0.113489084,2.69415,-0.5114858,11.931188,4.2919903,-5.8849816,-1.0878602
2,5.3693213,-2.9642828,2.5233095,-2.1630392,4.5012064,-5.914445,-5.0799527,-0.9467397,0.98805636,3.1438892,4.1982627,-2.7916024,0.42319876,2.8136039,-3.861521,-15.004777,5.1152596,4.211428,-0.9355199,3.133734,8.9171295,-4.974044,-3.463044,0.730083,6.0399146,2.5636828,-2.4918294,-5.698091,-1.445625,-0.8489296,-13.530737,-7.733226,-1.1241395,0.7776412,7.6381297,1.55673,12.381062,-6.142881,-0.18372862,5.8137717,-11.51107,-11.311691,-7.808289,0.067056164,-3.3309896,10.135423,-9.467013,8.304475,-0.3276961,1.0409694,4.6760783,-6.389284,5.4771805,0.30901915,-0.6691293,-3.5734,8.729738,3.8069937,0.15072022,-0.43890086,1.1097941,-5.0977845,5.8462086,1.8117448,-0.2969138,3.5354767,-14.457204,8.120546,2.1217134,-1.1085346,8.76813,4.047837,-9.373733,1.4318428,-1.9064174,-0.7191851,8.199793,4.041026,2.6316822,0.31783292,-11.557471,5.86306,2.7883086,-0.96382403,2.071168,2.2050624,-11.681331,5.249345,-5.1034813,1.3417162,-11.357642,-4.6796575,-6.9549923,1.405716,-1.0376258,-2.2917628,-12.885955,11.000082,6.0034366,-1.8853371
3,14.090778,10.431377,4.7650886,4.2204614,1.4701982,3.3844836,-5.620487,-5.02271,-2.429542,10.437614,-6.8908496,-10.66142,-1.6833103,0.5729466,-7.248435,8.703393,1.5814325,-4.4991636,-1.2137321,-7.5077405,-7.69902,5.996623,-0.8623688,2.8639498,-2.0048165,-14.581894,2.2170303,-2.957916,-0.4722018,4.7590504,-13.145434,0.95283955,3.768822,1.20874,-2.0935056,-6.0379324,0.8368719,5.1483383,-0.2858106,-4.617305,-3.7430956,11.109557,9.29416,-0.27052155,4.3895783,3.7057862,-11.655087,-5.587553,0.94459283,4.968011,-8.10478,-9.029109,-0.11484541,-0.4032166,6.624157,-5.1456046,-7.321204,-8.072213,0.62430215,-5.0047255,-9.30641,14.176312,2.8496745,0.26241907,-0.99229485,2.0436885,4.708324,0.58758557,0.9472278,-5.8788075,3.0009196,-2.3945067,-6.084931,-0.9120459,5.29958,-7.2816978,-8.353295,3.2944782,-4.168762,5.52582,-10.569358,12.12008,1.4417032,-3.322117,1.5684117,10.259536,-2.1538303,5.628485,-0.7821038,-2.3477573,1.0408825,14.061209,-0.7783161,-1.8168348,2.0660448,4.0557256,14.638072,-11.11755,1.0245726,2.139034
4,11.700686,-10.546033,-0.22315606,-1.2908717,7.268414,3.7208223,4.573569,1.805679,-1.5795717,-6.552195,-7.7622275,1.8027425,0.31131712,0.4262599,7.855611,11.997424,-12.839464,-2.0861695,-1.027765,2.3340662,-3.244431,2.2786174,0.93620765,-1.6214168,-8.227543,-4.949217,1.8297343,1.0233558,1.2432698,-4.6737733,-3.8299353,-13.133789,-0.35038707,-1.8537743,1.129302,1.5665548,-6.0346193,-1.740612,-1.43714,-7.167737,0.94321233,-5.487237,-2.0273845,1.3253142,6.4012704,-7.118449,11.075791,6.617032,-0.11188303,-4.557421,8.636503,-2.4758427,-6.24322,-1.2004323,1.1958776,-7.6359267,2.34291,-2.9426136,1.3967956,5.9401727,-9.41797,5.327344,6.6162386,-2.2417412,4.5122447,-8.848571,-11.922794,7.3486147,-1.0111693,5.2802434,-9.75997,2.6326125,3.1184165,-1.6804038,-5.130335,-4.690312,7.5018167,-10.322353,3.5220969,-0.47892007,-8.981922,9.275353,-3.3641057,0.38991627,2.179101,0.81170005,-5.997211,-1.1097932,0.34721127,-2.1371381,2.9762425,-7.0569305,8.040352,-1.3638557,1.1321179,-1.4845706,-8.775712,-11.019292,2.5580642,-1.6833266
5,-4.746969,-5.4268503,1.4091818,1.6866739,-5.7784863,9.674107,-10.568103,-5.2945976,2.9526956,6.289463,-9.391756,-2.217791,2.1645129,3.1193938,0.34030125,3.3926058,12.041916,4.8151646,1.8464352,4.6820254,-2.4677198,5.7433047,-3.2738864,0.6981362,2.556796,-5.908569,-5.7613454,-3.1032274,0.87163424,7.0194445,0.21928744,12.373238,-4.511683,-1.4345685,7.6930165,-4.957309,-9.051601,6.18588,-0.038123783,1.0237628,-12.133335,13.681331,-6.2961755,0.86163586,-0.50306815,-11.717667,12.093729,7.9832025,3.1758575,-1.5385216,6.5196795,11.565889,-5.8468895,-1.2103423,-5.569323,-4.7802367,14.865547,6.491921,-0.26600707,6.300264,-9.811847,14.358817,6.1166415,0.86630833,-1.2195848,5.270083,8.370109,-6.361003,-0.4076069,1.5807077,10.216491,0.25093198,2.21674,2.0621922,2.9159184,-2.5155463,12.705485,-1.5275835,0.35830525,0.42060676,0.20182316,-12.06637,1.0320432,2.3239107,-0.23125291,-2.8081343,-1.2490276,1.654744,-2.7677114,-0.39927435,8.710639,7.3938413,8.174888,2.4137657,2.206667,5.359633,-9.7691,-7.506418,1.4044111,2.9257104
