Channel,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-4.2047095,-0.84158325,-0.9273898,-0.218709,0.24283244,2.3823678,-6.663935,-2.7960951,0.48179087,4.253305,-10.937284,-5.483631,1.4740791,-1.3935786,-1.4015208,-4.426677,9.33317,1.8394152,1.4247231,0.6926772,-6.4117675,3.0755334,7.3864613,-1.0269313,3.9070184,0.9398677,-5.321052,-1.7434769,1.2002411,3.1412141,-6.461201,-9.647902,-3.5857015,0.88253313,-0.54191124,8.923977,3.8750656,-2.1393054,-0.5787496,2.789825,-2.09844,12.77449,1.9571575,0.76943433,-7.092473,-7.0608845,-6.8437343,-7.4464316,0.1344539,-2.8223877,-11.649673,4.3620257,1.7669442,-0.1756709,3.4890676,13.870178,-12.45944,-4.2394924,1.0764865,3.2202854,-11.676782,-2.1310935,-7.8251076,-1.4526345,5.8792825,-3.8072164,-10.016194,7.009247,1.1979667,2.47661,1.7672307,10.872719,-0.71709335,-2.490491,1.9935936,6.9874372,10.601131,-7.4095545,-0.21108909,-3.8508675,-9.763842,-8.5567465,0.15860647,-3.0544355,-3.2975748,7.6861534,-4.5890446,3.7943919,-4.4172335,-1.1563827,-9.93859,10.620506,6.517577,-4.561076,2.394542,-1.5085737,4.3702164,0.8296692,-5.531956,2.6239524
1,1.6875616,-6.1577663,-1.6745414,3.6172302,-1.9558314,11.687042,-10.296174,0.39730352,-3.8996384,9.122394,-7.407881,-5.7227626,3.728549,-1.4290535,-7.74306,10.952765,-4.338738,1.2831885,-0.83894193,6.7140656,-9.220042,-6.1309557,0.07423189,0.49195775,-1.2932034,-9.514644,2.4869754,-7.336393,0.33010674,7.791652,12.129749,-2.785425,-6.623762,-0.19063313,3.1434703,-8.143554,-6.060359,1.07508,0.5146696,-2.2452602,10.018183,-9.09579,7.0269923,-0.74753666,7.323877,-10.751419,-3.3458068,4.674532,0.3893733,1.4298285,2.210651,7.096795,2.083287,0.8179667,5.7918744,11.495246,-13.725443,7.1198745,-0.7825755,0.16199182,-10.334381,0.12698111,6.4864044,-1.1136762,-5.4635186,-1.9071463,-4.0199485,5.829609,-1.6625125,-0.66480035,-2.8620305,-7.8944397,0.5340315,-1.774322,-4.6932354,10.488284,4.119068,8.385547,-1.0121777,-1.1043149,-10.113315,-0.284379,-1.8513374,2.3222253,2.1722853,-11.09283,4.621407,8.745794,-1.0246785,0.5162638,5.556468,-5.0154676,-2.956956,2.205832,3.5461042,7.7689905,-9.140681,-9.853247,5.866626,1.1091367
2,-4.6767673,12.203712,3.3362591,3.8200216,3.4247234,-1.3521304,6.2105546,3.367854,-3.2061064,2.9752128,-14.09213,-10.626027,-5.106404,-2.4930663,2.4872122,11.615926,2.791838,-3.1405616,0.8557682,-5.868833,8.24949,7.915224,-0.58323467,2.3653271,2.7908351,0.22278899,11.432453,-2.390616,-1.9422796,-8.40939,11.548232,5.364112,-4.202475,0.6368042,0.2820994,1.677602,2.5612414,-0.25391185,0.25323984,-6.2593985,-3.228287,-2.4857702,-5.3742776,0.37840208,2.6523168,-3.5584133,-6.422741,-1.0962269,1.0980892,4.145127,10.898309,-12.307855,7.451323,-0.30684844,3.875771,-4.9440165,-9.717062,-1.7941959,0.5271047,2.8435264,-11.91018,-7.760283,7.0507684,0.40763134,6.9901757,4.638439,9.8782215,10.069881,-3.0589414,2.9885678,5.1048913,13.28239,-1.675132,0.47739324,5.785169,1.2989962,-5.7481813,-2.705026,-0.8574707,-2.1149628,-6.194069,10.453704,6.2664943,3.3594146,-2.8090363,7.6570606,10.5612545,-10.430936,3.3863065,-2.087925,9.897659,-11.765135,-10.425969,2.7193851,1.9457501,7.609641,-14.995184,10.042025,-4.551046,-0.7459747
3,-14.073923,-2.823046,-1.6473143,1.1398559,5.172609,12.689151,-3.1997795,-3.6155703,-2.1645992,4.457817,-9.024957,-10.9798975,0.3243434,1.3902493,-9.566995,-8.563273,-0.76167786,6.074498,0.9769739,-9.669944,-10.362219,-8.660645,-6.6811132,-1.2356591,-4.7089415,-5.752927,-10.236838,-4.1256514,0.18611698,5.9034553,-7.3608403,-3.378728,-0.48405796,-0.71578586,2.8284235,0.17621002,-3.9022136,-2.5894098,-0.13172653,-5.3018413,-14.343127,7.5729294,-6.1487784,1.1672252,-4.8763986,-11.239816,-4.6674714,-8.021464,-0.5444958,5.193483,13.761643,-3.3006656,1.5188005,1.7152109,-4.443416,-2.6624436,-5.583652,-7.657482,-0.78064865,-0.7372854,9.638392,2.9355214,-9.129654,-1.2001026,6.3184023,0.6824798,8.304368,3.8269138,0.9276663,-3.3949585,3.456162,13.704409,2.8574166,2.3355892,4.8332124,-10.259093,5.9337316,-1.8858712,2.0151289,0.43975335,-10.081629,14.604063,-4.59757,4.087245,1.3741571,-4.786722,-4.2340965,4.7908816,0.17692882,1.1530786,6.5026784,8.702906,-7.847509,3.631258,0.14039744,-11.147871,-12.337866,-6.920359,-0.7939074,-0.78371686
4,-14.922665,3.430485,-4.331001,0.8828319,3.6072876,-4.8761206,-1.8872832,-4.391057,-2.1901286,-10.013496,12.65854,8.139451,-4.794331,-1.2497069,-1.2246125,-2.7081048,12.578696,6.019961,-2.193574,5.509635,-4.9426317,6.667206,3.250297,-1.8075391,9.12737,-13.886149,-13.338412,3.544508,-0.6150137,0.9344931,-8.377956,-2.311596,7.484508,0.92993623,3.9510279,4.995256,1.948042,-2.4532,1.0035686,3.9059808,-0.81962985,2.9248173,-1.8859273,0.12716469,-0.8008067,12.955505,-12.368897,-2.5234382,-0.85112935,1.9538673,-6.589904,12.6701565,5.021669,-0.1841967,-4.2002225,-13.231713,12.630877,4.8200326,-0.072373636,-1.4458656,-8.1307535,-11.267295,-2.1439083,0.71527267,6.9931307,-9.166709,-6.860234,-7.0954967,0.9865128,3.264669,-5.704126,-9.8485155,-10.130312,0.27997515,-4.1998677,3.050522,12.738648,3.585569,-4.57632,1.7208443,10.57355,-8.236067,11.314068,2.7918513,-1.6743128,11.838984,-10.679708,8.016932,-4.0898585,-2.676046,8.17066,-5.750991,1.502084,-1.7037828,1.5871673,6.654794,13.890304,10.993191,-1.5695087,1.218452
5,7.757975,4.2636137,-0.2977067,-1.7476625,8.737139,10.791594,9.089423,0.9064609,-0.21088944,5.527394,10.1668825,6.587238,-5.2964425,3.1255403,7.760335,6.6436033,3.1119144,-4.2210565,-1.5976553,-5.183668,-4.6469283,-7.0447273,1.0371505,0.8133819,10.052729,-13.048827,8.684647,7.0147805,-2.1004326,-9.565629,6.0537214,-5.2402425,-3.810259,-0.5162474,-5.582498,6.442898,-10.804628,-7.5701933,1.1129941,-5.6872344,7.997861,0.57170093,-8.569667,-0.570973,-8.272005,3.9065926,-11.0189085,9.758371,0.5069715,-7.4105086,-12.0383,-12.100311,1.6288953,-0.12817761,0.2155327,5.737235,3.9444418,4.0561004,0.70628273,-0.65942293,-10.375416,2.7023401,-4.937732,0.45933104,-2.3672233,9.708456,10.477077,5.7924986,-0.9744531,-1.0098082,5.1037908,6.6985207,-0.7129634,-3.4947324,3.860951,5.3233576,11.09195,-3.2084286,-2.5758104,0.98735875,11.479431,-14.566388,10.410638,-4.5734773,-4.712258,-3.1587715,12.921469,-3.3991463,0.3180746,-0.14843476,-3.5924447,-10.844402,-3.6515443,1.1467595,-2.8715956,4.1946144,-10.378556,-10.497235,1.3351619,-2.6901627
