Episodes,Best Fidelity
0,0.0022432804107666016
1,0.07597613334655762
2,0.2836277484893799
3,0.2836277484893799
4,0.2836277484893799
5,0.2836277484893799
6,0.30954790115356445
7,0.30954790115356445
8,0.30954790115356445
9,0.30954790115356445
10,0.3432007431983948
11,0.399930477142334
12,0.43766075372695923
13,0.43766075372695923
14,0.43766075372695923
15,0.6037328839302063
16,0.6037328839302063
17,0.6037328839302063
18,0.6037328839302063
19,0.6037328839302063
20,0.6037328839302063
21,0.8168495297431946
22,0.9976141958031803
23,0.9976141958031803
24,0.9976141958031803
25,0.9976141958031803
26,0.9976141958031803
27,0.9976141958031803
28,0.9976141958031803
29,0.9976141958031803
30,0.9976141958031803
31,0.9976141958031803
32,0.9976141958031803
33,0.9976141958031803
34,0.9976141958031803
35,0.9976141958031803
36,0.9976141958031803
37,0.9976141958031803
38,0.9976141958031803
39,0.9976141958031803
40,0.9976141958031803
41,0.9976141958031803
42,0.9976141958031803
43,0.9976141958031803
44,0.9976141958031803
45,0.9976141958031803
46,0.9976141958031803
47,0.9976141958031803
48,0.9976141958031803
49,0.9976141958031803
50,0.9976141958031803
51,0.9976141958031803
52,0.9976141958031803
53,0.9976141958031803
54,0.9976141958031803
55,0.9976141958031803
56,0.9976141958031803
57,0.9976141958031803
58,0.9976141958031803
59,0.9976141958031803
60,0.9976141958031803
61,0.9976141958031803
62,0.9976141958031803
63,0.9976141958031803
64,0.9976141958031803
65,0.9976141958031803
66,0.9976141958031803
67,0.9976141958031803
68,0.9976141958031803
69,0.9976141958031803
70,0.9976141958031803
71,0.9976141958031803
72,0.9976141958031803
73,0.9976141958031803
74,0.9976141958031803
75,0.9976141958031803
76,0.9976141958031803
77,0.9976141958031803
78,0.9976141958031803
79,0.9976141958031803
80,0.9976141958031803
81,0.9976141958031803
82,0.9976141958031803
83,0.9976141958031803
84,0.9976141958031803
85,0.9976141958031803
86,0.9976141958031803
87,0.9976141958031803
88,0.9976141958031803
89,0.9976141958031803
90,0.9976141958031803
91,0.9976141958031803
92,0.9976141958031803
93,0.9976141958031803
94,0.9976141958031803
95,0.9976141958031803
96,0.9976141958031803
97,0.9976141958031803
98,0.9976141958031803
99,0.9976141958031803
100,0.9976141958031803
101,0.9976141958031803
102,0.9976141958031803
103,0.9976141958031803
104,0.9976141958031803
105,0.9998554280755343
106,0.9998554280755343
107,0.9998554280755343
108,0.9998554280755343
109,0.9998554280755343
