Channel,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-5.5160613,-1.4777998,0.54062307,0.15085267,2.70548,5.2681384,-1.7902321,-0.029206894,-2.9297204,7.0629196,5.9880466,-3.0550063,-4.9939365,-1.352818,4.666231,12.1568985,6.1835995,-6.339576,2.5913188,10.80882,-8.143794,-4.045196,5.6739902,0.61943066,7.8054013,-4.4935527,3.332797,6.1993394,1.2773391,1.0936997,-0.69274646,-9.142606,5.779817,-0.12693067,8.741408,6.5710025,-6.4639196,-6.6552787,0.79404753,-3.1571915,-12.626583,-2.4824624,-1.6227638,-0.33520183,-0.9219217,3.9953048,5.370074,3.928373,0.49497986,1.2543597,-0.9223239,6.3801503,7.46654,0.107911184,0.86957425,7.35728,0.23321708,0.07779473,-0.71473986,-5.5590134,-12.2340765,12.488906,9.4034195,-1.4002441,4.106517,5.7384562,4.627335,-0.85271287,1.8446538,0.055570092,7.1427197,-14.683614,5.7003484,-2.716098,2.4933646,-3.6489463,-11.080719,-2.3089786,-0.8373288,4.776417,-11.620171,2.8360908,2.97199,-3.176687,2.053538,0.003913139,2.8091218,1.3039184,-0.95744157,-3.9752784,4.2381487,-1.8216535,-10.154221,2.2460766,-3.9866478,7.698172,3.5063071,-0.05657466,-2.918161,-2.0329435
1,-14.967304,5.143872,0.8196698,3.7964008,-9.759016,14.998154,-4.672715,-4.094432,1.0688134,-3.1904626,12.050189,-6.426975,5.16151,-0.6154486,1.2623814,-5.712525,-10.267253,-3.71995,-1.8115418,0.91013986,7.2270317,-11.309256,6.8620696,0.2353845,-8.440193,-7.108012,-11.135201,-4.2021875,0.9252092,-8.079999,-9.786984,1.2204459,-0.28910202,0.5159989,-7.5767117,-6.1436663,-0.31741327,-8.65425,0.8364545,-3.5541468,0.8676018,-11.531688,-5.835102,0.33110112,1.2760266,-10.394415,-9.408211,-8.401898,-0.5449505,-5.2315345,9.413136,-11.82058,5.305554,1.3022218,-4.6439533,7.2772818,-9.159206,8.608666,0.3595902,2.4016564,11.702363,12.70336,6.8413763,-0.8773462,-1.9343187,-13.299078,-1.0850394,-0.60515445,0.42896456,-3.1010742,1.5629812,14.263392,-10.456828,2.8582582,-4.4137692,4.837033,7.5794764,-4.6142755,3.1360373,-5.0622554,8.081376,-9.797643,-6.816268,2.7634678,-1.2638046,-7.3428736,9.822794,7.215313,-4.6431026,-0.36507943,6.040841,-4.71642,-0.5568809,1.3748314,0.94824255,-3.0363994,7.502284,0.8395079,3.26034,3.095956
2,11.716879,10.569512,4.256183,2.8690617,-10.4334545,-9.841764,-0.9413377,1.5305392,-2.8388882,11.748757,-13.436287,-0.25457707,2.4794486,-0.60173494,5.016906,0.7047364,-6.9743733,0.82280505,-2.4819286,5.195577,-13.543152,8.224299,0.7341373,-1.3323896,2.052131,-9.725174,4.554462,-1.9984807,0.2765632,-1.947452,2.7626195,4.833033,-5.9474154,1.3213058,-7.4934945,13.805547,-2.6891944,3.9403064,0.38166147,4.348937,-6.6880593,14.07654,-4.1587095,0.20353527,6.0575395,13.396582,-13.377496,-6.5719275,-0.23307718,1.3434442,-8.615277,-3.8240325,-6.364208,-0.21341862,-2.1563444,10.342041,-13.698756,6.4773707,-0.1703995,-0.23010388,-8.91074,5.7933536,-1.058701,2.749875,-3.0181482,-9.821949,-14.814137,5.187124,0.9478529,2.7270722,-5.4771953,12.93688,-2.9027116,0.19087541,3.440689,-5.5813913,-10.057086,-11.879337,-1.3307525,-2.8130147,4.051295,-0.9533449,7.9350348,4.024211,0.12562615,-7.0850973,13.52028,4.540954,0.23280354,-0.38433188,-11.2485485,-6.0487447,-7.00812,-5.8123155,-2.3225484,6.3344245,1.8676356,-8.3042145,-0.9426245,1.337524
3,-14.311068,1.6501198,-2.2384615,1.3028969,1.2024976,11.096655,8.979843,-1.4958887,-1.6080959,9.2255745,-13.921128,-9.354063,5.0792184,-1.2458644,0.1629587,-9.034972,7.211191,4.275497,-2.5569763,-10.436473,-10.058471,2.2289968,7.770782,-0.7458432,5.6291,-12.636747,1.5407407,1.7704734,0.8439247,7.0232615,-8.588533,-8.133353,0.14759465,-0.05209578,-1.896924,13.931194,8.387034,6.0329103,-0.33469462,0.3427465,4.6935263,-4.206834,2.6380093,0.282449,-0.09336304,7.5663295,-5.551824,6.0284605,-0.13833757,0.66724044,10.436601,1.8694143,6.6936016,1.3054767,2.7665703,-5.425542,12.286843,-8.336159,-0.72406846,-0.09566186,2.2936375,11.5163765,0.2848503,0.3758479,-6.2127867,-0.06873807,-6.184857,1.7636862,-0.82768667,2.4213479,9.423934,11.59649,-6.198832,1.8437234,-2.541658,7.7715826,-9.713197,-9.471792,2.6561275,-2.978896,2.8960981,-14.564813,5.63962,-1.8997561,1.823737,-2.3955941,-13.571399,10.744793,2.8118968,3.2052262,-10.541407,-7.4023824,3.3210378,-0.330737,-0.8626188,3.32966,-5.2110214,10.859889,-4.949361,1.4029926
4,0.31440166,6.562699,-2.950395,0.934492,-2.3263223,0.27499717,-2.150697,1.7348392,3.2456694,1.3910297,-12.72521,8.7156925,-1.252384,-1.6691211,-8.03782,-11.734775,-0.120521575,-1.9624059,-1.587533,7.938492,2.752625,-5.8633127,4.111407,-2.058553,-3.9966607,10.177706,5.4951596,-1.6086557,-0.25707436,9.413396,-9.25476,7.4231496,0.8858229,-0.6735458,-2.6164355,-5.300714,-8.311983,4.0074544,0.09761596,-4.5523105,-6.6068797,2.9963293,-6.2877855,-0.276559,2.0132806,-13.656683,2.3097396,6.44319,-0.12554635,1.2506922,1.1379149,0.7615486,6.5989733,0.07733579,2.6162045,7.1377745,-0.27699482,-6.3847337,-1.651029,-5.4798,3.047863,2.9344838,-3.6037488,1.7839057,5.4012794,-13.725401,9.404358,-5.268794,1.4439961,2.0183792,-9.720171,-10.983486,10.102829,1.7257904,5.265155,3.646584,-12.014085,-9.100299,2.195279,0.9132128,4.818121,-5.6177025,7.651913,-0.6909815,4.180697,1.5322537,14.228503,1.2512534,4.5971994,-3.1007407,10.254446,-4.3203,2.5239308,-0.16093813,-2.4290326,0.3312957,-10.213358,3.5202935,-4.596011,-0.57225513
5,-12.48065,7.4242177,2.2735665,-1.7354195,-10.634921,11.676933,-1.4996235,4.0926805,-1.0240165,-9.358777,3.8661048,7.196415,3.045077,-0.78049684,7.8118796,1.6586794,-1.5980973,3.7731628,1.9225988,6.5191073,1.3472843,6.46882,-1.7390872,-1.0322498,-6.1038275,14.8513,4.0468035,-8.150107,-1.7041986,7.863649,0.6087887,-6.271195,5.8311467,0.773286,9.584971,8.305614,-5.985431,-2.5684123,0.2570771,-6.9486227,6.8685317,9.137031,5.3305573,0.25915954,-0.10089454,-7.628244,-11.793701,7.0057507,-0.3114217,-0.38844886,7.9880795,7.3150907,-9.886907,0.6942375,-4.413645,-4.1538496,11.791067,-6.8168063,-1.0469112,-5.8690586,0.33333746,-6.5900965,4.9880853,2.5142736,4.1686883,12.6180315,10.833229,-0.7853051,1.2749335,-5.467812,3.7044709,3.362707,10.961542,2.8821363,-0.07043038,-0.73599786,3.90983,-5.845061,-2.2792723,-3.1099663,2.5322351,12.699434,-9.745581,-1.404842,0.69541085,0.9479085,-1.4459211,-7.483192,-1.8191509,-1.8297783,4.0319686,-14.104382,7.047472,0.8091783,2.836472,-10.125579,-13.830413,-0.74731576,3.3890145,0.2724611
