Step,Fidelity
1,0.15621823072433472
2,0.15621823072433472
3,0.15621823072433472
4,0.15621823072433472
5,0.1962282657623291
6,0.1962282657623291
7,0.1962282657623291
8,0.20913153886795044
9,0.3177236318588257
10,0.3177236318588257
11,0.3177236318588257
12,0.3177236318588257
13,0.3177236318588257
14,0.3177236318588257
15,0.3177236318588257
16,0.3177236318588257
17,0.3177236318588257
18,0.3177236318588257
19,0.3177236318588257
20,0.3177236318588257
21,0.3177236318588257
22,0.3177236318588257
23,0.3177236318588257
24,0.32598042488098145
25,0.32598042488098145
26,0.32598042488098145
27,0.3578532934188843
28,0.3578532934188843
29,0.3578532934188843
30,0.37633001804351807
31,0.37633001804351807
32,0.4247581958770752
33,0.4247581958770752
34,0.4247581958770752
35,0.4247581958770752
36,0.4247581958770752
37,0.4247581958770752
38,0.4247581958770752
39,0.4247581958770752
40,0.4326837658882141
41,0.4326837658882141
42,0.4326837658882141
43,0.4326837658882141
44,0.4326837658882141
45,0.4675701856613159
46,0.4675701856613159
47,0.4675701856613159
48,0.559135913848877
49,0.559135913848877
50,0.559135913848877
51,0.559135913848877
52,0.559135913848877
53,0.5656275749206543
54,0.5656275749206543
55,0.5656275749206543
56,0.5656275749206543
57,0.5656275749206543
58,0.6643515229225159
59,0.6643515229225159
60,0.6643515229225159
61,0.6643515229225159
62,0.6643515229225159
63,0.6643515229225159
64,0.6643515229225159
65,0.6643515229225159
66,0.6643515229225159
67,0.6643515229225159
68,0.739745020866394
69,0.739745020866394
70,0.739745020866394
71,0.739745020866394
72,0.739745020866394
73,0.739745020866394
74,0.739745020866394
75,0.739745020866394
76,0.739745020866394
77,0.739745020866394
78,0.739745020866394
79,0.739745020866394
80,0.739745020866394
81,0.739745020866394
82,0.739745020866394
83,0.739745020866394
84,0.739745020866394
85,0.739745020866394
86,0.739745020866394
87,0.7468490600585938
88,0.7468490600585938
89,0.7814658284187317
90,0.7814658284187317
91,0.7814658284187317
92,0.7814658284187317
93,0.7814658284187317
94,0.7814658284187317
95,0.7814658284187317
96,0.7814658284187317
97,0.8941651582717896
98,0.8941651582717896
99,0.8941651582717896
100,0.8941651582717896
101,0.8941651582717896
102,0.8941651582717896
103,0.8941651582717896
104,0.8941651582717896
105,0.8941651582717896
106,0.8941651582717896
107,0.8941651582717896
108,0.8941651582717896
109,0.8941651582717896
110,0.8941651582717896
111,0.8941651582717896
112,0.8941651582717896
113,0.8952547907829285
114,0.8952547907829285
115,0.8952547907829285
116,0.8952547907829285
117,0.8952547907829285
118,0.8952547907829285
119,0.961883008480072
120,0.9599682
121,0.96206564
122,0.9634101
123,0.9656852
124,0.9660395
125,0.96619016
126,0.9664999
127,0.9667105
128,0.9723078
129,0.97246873
130,0.9738838
131,0.97392625
132,0.97751147
133,0.98070425
134,0.9809113
135,0.9874862
136,0.9874888
137,0.9876075
138,0.9876828
139,0.9877039
140,0.9878126
141,0.98794943
142,0.9885429
143,0.99034566
144,0.99035954
145,0.99041194
146,0.99043816
147,0.9904669
148,0.9904669
149,0.9904784
150,0.9905306
151,0.9905307
152,0.9905358
153,0.99053675
154,0.99053675
155,0.991896
156,0.9918967
157,0.99189866
158,0.9918988
159,0.9919038
160,0.9919094
161,0.9919095
162,0.9919551
163,0.9919551
164,0.9919566
165,0.9921256
166,0.992125
167,0.99219316
168,0.9922165
169,0.9928758
170,0.99287736
171,0.9928809
172,0.9929726
173,0.9932597
174,0.9932607
175,0.9932607
176,0.9932615
177,0.9936135
178,0.99361455
179,0.99361455
180,0.9936147
181,0.9936233
182,0.9936231
183,0.99363494
184,0.9936365
185,0.99364567
186,0.99364793
187,0.9936484
188,0.9936873
189,0.99373215
190,0.9937462
191,0.9937673
192,0.9939027
193,0.9939028
194,0.9939079
195,0.9939079
196,0.9942005
197,0.9955888
198,0.995589
199,0.995589
200,0.99558926
201,0.99559057
202,0.9955909
203,0.9955907
204,0.9955908
205,0.9955908
206,0.99561065
207,0.995622
208,0.995622
209,0.99562585
210,0.995626
211,0.99562776
212,0.99562776
213,0.99562776
214,0.9956291
215,0.99562967
216,0.99563026
217,0.99563146
218,0.9956568
219,0.9956569
220,0.9956576
221,0.9956576
222,0.99565965
223,0.99566
224,0.99566
225,0.9957979
226,0.9957979
227,0.9962049
228,0.99620444
229,0.9962081
230,0.9962083
231,0.9962083
232,0.9962101
233,0.9962183
234,0.9962226
235,0.9962226
236,0.99622345
237,0.99622345
238,0.99622643
239,0.9962306
240,0.9962459
241,0.99624616
242,0.99624616
243,0.99624807
244,0.99625677
245,0.99784064
246,0.99784064
247,0.99784064
248,0.99784064
249,0.99784064
250,0.99784064
251,0.99784064
252,0.99785703
253,0.99785703
254,0.99785703
255,0.99785703
256,0.99785703
257,0.99785703
258,0.9978599
259,0.9978599
260,0.99821466
261,0.99821466
262,0.9982204
263,0.9982204
264,0.9982204
265,0.9982212
266,0.9982212
267,0.9982212
268,0.9982212
269,0.9982212
270,0.9982212
271,0.9982212
272,0.9982212
273,0.9982212
274,0.9982212
275,0.9982212
276,0.9982212
277,0.99822146
278,0.99822146
279,0.9982223
280,0.9982223
281,0.9982223
282,0.99822265
283,0.99822265
284,0.99822265
285,0.99822265
286,0.99822265
287,0.99822265
288,0.99822265
289,0.99822265
290,0.99822265
291,0.99822265
292,0.99822265
293,0.99822265
294,0.99822265
295,0.99822265
296,0.99822265
297,0.99822265
298,0.99822265
299,0.99822265
300,0.99822265
301,0.99822265
302,0.99822265
303,0.9982229
304,0.99824625
305,0.9982467
306,0.9982467
307,0.9982467
308,0.9982467
309,0.9982467
310,0.9982467
311,0.9982467
312,0.9982467
313,0.9982467
314,0.9982467
315,0.9982467
316,0.99825996
317,0.99825996
318,0.99825996
319,0.99825996
320,0.9982603
321,0.9982603
322,0.9982603
323,0.9982603
324,0.9982603
325,0.99826044
326,0.99826044
327,0.99826044
328,0.9982614
329,0.9982614
330,0.9982614
331,0.9982614
332,0.9982614
333,0.9982614
334,0.99839073
335,0.9983936
336,0.9983936
337,0.99839395
338,0.99839395
339,0.99839395
340,0.99839956
341,0.99839956
342,0.99839956
343,0.99841905
344,0.99841905
345,0.99841905
346,0.99841905
347,0.99841905
348,0.99841905
349,0.99841905
350,0.99841905
351,0.9984194
352,0.9984194
353,0.9984194
354,0.9984292
355,0.9984292
356,0.9984292
357,0.9984292
358,0.9984292
359,0.9984292
360,0.9984292
361,0.9984292
362,0.9984292
363,0.9984292
364,0.99858856
365,0.99858856
366,0.99858856
367,0.99858856
368,0.99858856
369,0.99858856
370,0.99858856
371,0.99922895
