Channel,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,12.811387,-11.691905,2.6615891,1.0609468,10.765895,-5.972516,1.8806369,-5.43193,0.87566787,1.1566472,-3.2569888,8.871599,-4.7122416,1.73078,-6.652606,12.76565,11.147249,4.376242,0.41573387,-3.2036242,-5.1422887,-10.950974,-3.6621916,1.5402799,-3.4655252,4.967544,5.843402,-3.8510704,-0.99960226,7.336328,-1.0716754,-6.0733857,-4.671255,-0.50994134,-2.3504384,-0.8260378,-13.2847185,-7.008545,-0.38346636,-8.216489,-3.66754,-0.616673,-3.7364535,-0.38130227,0.1698044,9.543643,8.351009,5.5361743,0.30644888,4.921769,9.394858,1.8087237,-0.5879027,-1.7129592,-0.19203046,5.968376,-2.8647964,-2.8357956,0.5975316,5.148737,-1.7715819,-12.214428,-8.795602,1.6349599,0.28636116,10.259873,-0.3561448,-2.4877934,-2.1323211,2.276688,8.382913,-14.405983,-0.37148413,2.9602447,4.2882447,11.088184,-1.5314003,-1.67058,-3.0542479,-3.2424169,1.0278075,6.862245,-8.794511,4.7829833,4.983305,1.8255816,8.555792,10.8965435,0.028440531,-0.128988,10.442293,13.394555,-4.5043426,-2.259326,0.37163797,-6.855013,3.532834,-0.568242,1.400864,2.9031885
1,0.069490165,-10.021031,2.126054,1.0265765,-0.240757,-3.7618892,-1.9195523,-5.1952176,1.7567523,8.266292,-1.4860442,2.5751646,-4.4384613,-1.4582038,1.8900251,-0.2546972,3.3190567,5.604977,1.0740912,9.044671,-10.413651,8.463844,5.754639,0.39381257,-5.63945,10.49314,-9.023098,-1.5822772,0.47987607,-1.6615567,4.303596,3.0331817,2.6882863,0.027378121,1.3836607,12.765591,-2.6462379,-6.696767,0.06595615,4.501324,-5.3338065,8.573057,5.670077,-0.009853088,-2.5450008,2.9056246,-8.875388,1.6009963,-0.032787535,4.065178,5.719604,13.854573,3.7855754,0.6202993,7.1973476,-1.9453734,-1.2719111,1.2039827,-0.43082345,-0.42426047,9.366866,10.267979,6.1411242,0.3760524,-1.8638213,-5.579495,10.09605,10.784444,-2.3271525,-9.136644,1.0972571,-10.055336,-5.801387,2.551546,5.542051,-6.831435,-13.98089,-10.124802,3.524368,3.7098815,3.3725097,6.020113,10.296236,-2.9180374,-0.6903808,7.479425,-11.630386,11.239447,-1.6408194,-2.0211775,2.6624625,-2.052749,-13.065618,4.538316,-2.6163213,3.035605,5.8453655,-9.7809725,-3.3649676,-1.1799147
2,-3.4471745,9.533618,-1.9934803,2.920888,10.746196,6.5425863,7.7721195,-3.6039736,-0.77323806,2.7291007,10.876183,-2.2879028,4.3500705,-1.692174,-2.7043874,9.518635,10.358058,1.2388377,-1.5272185,1.5165982,2.27637,1.9991616,-1.1634414,2.8286154,10.763822,12.728849,-9.149325,0.025018007,0.7138339,3.1047678,12.32823,11.06531,-0.9090706,0.4744574,-6.3374844,5.717727,-5.4984407,-4.96877,-0.070739776,9.47,13.494205,-7.7442694,5.587014,0.016619602,1.2441069,-9.001788,2.1380045,-1.2431557,-0.65924567,6.6631684,10.132606,4.1601667,2.3833835,0.78310335,-6.390545,9.723225,14.094045,1.788812,-1.8645537,0.95262665,-7.4777045,-6.2426767,-2.5048501,1.3445494,-4.428542,10.352254,-9.484948,-0.69586664,-1.7543851,-1.9944928,12.583704,13.930178,9.137982,3.9058383,5.6753783,-11.668316,-3.900415,-5.012726,-3.677645,-1.6005057,-10.59064,10.306147,9.516031,-0.7665287,0.4738205,-0.6139453,-10.185216,0.50481516,-2.3475854,0.92954487,11.183215,5.4520774,10.860254,2.0848737,2.5115635,5.466739,6.0406694,10.549048,-2.9712741,-0.32435954
3,-1.0188708,4.6242094,-3.9670806,-0.750469,-2.7572422,-4.2309685,-3.1270876,3.5150754,-0.9179432,-7.733918,10.875008,-11.033426,-2.188329,-0.04340371,0.19807188,-9.511998,-5.559329,-4.8000684,0.04821856,7.076082,10.41332,6.2506046,-3.3658426,2.2394779,8.917225,-10.409242,7.7919188,2.0705564,-0.27981952,-5.7035575,14.233276,-13.016996,-7.787196,-0.36194342,1.0080714,11.447315,2.1228955,0.7834438,0.055352908,-0.11935455,-6.893925,-7.2292347,5.437598,0.42101735,-2.7815475,1.9525874,3.7702384,9.293328,-0.57430303,1.7923845,-4.873198,-7.486067,-9.656163,1.0182327,-3.3712485,-7.9245424,-3.50228,-9.363053,0.5387224,4.21908,5.114119,-4.8499713,-0.9769395,0.98252755,-5.9793544,9.054272,-5.970939,-1.5779679,2.6558213,3.878501,6.3599834,-6.8651094,0.62133545,-0.25085834,-1.2709457,-8.54202,-7.8285575,-4.1872535,0.16736282,3.6153638,1.9252312,8.537711,-8.614819,-2.6101155,-3.7123332,5.5180364,5.214982,8.395072,4.363011,-0.7874279,7.1383233,-4.046782,-6.574939,-3.5264034,2.0888526,11.267473,-13.207614,-2.7817006,0.47760424,-1.4372872
4,15.002787,3.7511196,4.600501,-2.2825046,-1.4612913,-11.366301,0.70883495,4.8192453,-1.8273283,1.6455152,12.426573,-12.83234,2.8801546,-0.8310056,9.595506,2.463855,4.4732223,-3.2047312,-1.1097956,7.8286767,-12.267802,-5.523537,-0.9511919,-0.005849767,-4.6279697,8.872177,9.72241,-1.1685069,-0.9101353,-1.3217467,6.8868313,-12.833048,6.3689413,1.3778197,-3.1880815,-11.197994,-12.96253,-1.0802853,0.34722543,-5.294138,-7.562658,-7.3856063,-8.577615,0.3696049,6.974473,2.473677,-1.6756104,-5.7947817,0.3385066,-0.053224336,-4.48268,-5.3854485,-6.9507837,-0.69446766,3.1023536,11.406204,-14.029194,4.489138,0.57881355,-2.0804634,1.3281484,2.4604166,-8.247619,0.10411357,0.4748874,0.70518905,10.996653,-3.630789,-0.37959132,-0.7582885,-7.3139577,9.858936,5.2180405,-3.4455693,1.3831924,4.427015,-9.178095,2.2347703,-1.3708675,-4.764016,8.279324,0.9690033,-0.41139686,-4.6127114,-3.6326032,11.055355,-7.856737,-5.8981934,0.12963049,0.09685728,8.026901,-5.806491,-8.88838,-0.47445223,1.1155956,2.6557546,4.947082,-2.1887035,2.8906925,-0.60809976
5,-3.5283473,-5.331745,-4.201322,-1.0168583,3.8257675,1.2144939,-5.865849,-4.272204,1.3949432,3.49991,-3.001554,-1.177759,-4.6962934,-1.830843,-2.8402555,-0.15589587,12.290626,5.953587,1.3939948,-6.5232573,3.3793283,-7.3442907,-2.2068794,1.0661992,-4.5375557,-1.3097225,1.5651639,-3.8520768,-0.6856926,3.0208614,2.5176952,-6.8223386,7.171057,-0.51223654,-8.277406,-8.056524,1.7694046,6.949249,1.1507945,-2.3787818,1.0707577,4.4849796,0.5158155,-0.15482208,2.4058778,-7.5434594,-1.9245385,5.9226794,0.27765214,3.5534735,9.4473505,5.114313,-0.33633313,-0.9282385,-0.91864437,-13.312017,-10.875159,-3.5363095,0.88885057,-3.7389586,7.8296967,-13.304554,-4.9229984,1.8663554,6.729714,6.0538654,-9.995863,-10.146547,-0.22725633,6.6400957,8.374788,-10.157294,9.971381,4.289215,5.0224786,1.0427485,8.929606,2.4908686,-1.8723776,3.6065154,11.356405,-11.339388,10.522823,-3.5841448,4.1543365,1.8849789,-10.211842,3.6032667,-4.4149623,-3.5185232,-7.910969,-8.0471525,6.914243,-0.393909,-0.11734687,3.8587852,-8.971137,5.6517396,5.4713736,2.3119516
