Channel,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-14.041643,3.411581,4.910316,-1.3530407,-1.9423567,12.004615,4.458943,-1.9776294,3.1052094,-4.29624,13.512171,9.504197,3.8905008,0.6375226,9.810471,13.747177,-11.914243,-3.8681417,-1.5486139,-10.144238,-11.747064,8.488338,0.46225578,-1.9217095,1.0469183,-12.552148,-8.562808,-6.122941,-1.6813791,4.4161468,6.191333,0.7668092,3.3791628,-1.0236567,-7.3129506,5.359099,5.685378,0.823707,-0.18694124,-4.9617114,-12.822813,1.0229087,-1.5053353,0.30551055,6.1467624,9.626974,8.736324,-8.724194,0.26198998,3.4042525,13.288905,-7.4181304,7.966435,0.76872224,3.3231215,1.5170026,-12.612919,-0.30309072,0.7817224,4.6621194,-8.63236,10.732096,-2.276284,0.46750215,1.5100105,5.6537156,-5.9062257,9.731569,1.1091747,-3.8143466,1.7524726,-2.4120736,-5.7370768,2.1858532,5.0926433,3.2436864,14.325531,-0.5565358,-3.3842103,-1.1565768,7.361213,1.389153,1.0147462,1.4573652,2.7177913,-3.259457,-10.341694,-0.2290378,3.1383438,0.5782859,2.2991004,3.0117018,3.9373767,-3.4328501,-1.2998651,-9.167815,-5.6204724,11.9890785,-3.0251105,2.9705763
1,10.910194,8.945701,-4.292295,0.51341224,-0.9829768,5.788641,-7.6445274,0.48707336,-2.2425618,2.3163364,6.503206,-11.366796,-3.9604201,-1.2668197,10.061858,9.966258,-13.211515,4.78069,0.77807564,1.3083416,-2.3454964,-8.569904,-5.785099,1.7172005,7.027054,-0.05638185,-12.163773,-6.029504,1.4708724,-2.2800543,-5.2194858,11.891767,4.3643107,0.021027084,4.1844363,9.135987,5.2933345,1.7678239,-0.013440262,5.2820983,13.87144,-2.3783123,8.507184,0.02857184,-1.8988746,-0.21880363,4.539713,6.431488,-0.096960746,3.743253,0.62761974,-0.024643952,-5.8414907,1.8638215,6.4003057,1.1483839,9.665794,-2.0159287,4.9595957,5.3025475,-4.4764442,-3.0144331,0.40879467,-1.9483738,0.56551665,0.01899901,-8.647614,-4.02432,-0.20476013,-0.8224294,9.694221,-10.005539,4.940128,2.753236,-5.944828,7.133276,-13.601243,8.950915,1.5858583,-1.0642453,-0.17976224,13.182134,-9.901389,-2.1404529,4.623368,-12.188015,10.953212,-6.2281218,-1.4117565,-1.5039872,0.27071095,4.639533,-12.316219,-3.5257008,-3.8896387,3.3680222,-7.6563067,-13.4166565,-4.564848,0.57261413
2,1.2232382,0.9977706,4.3845806,1.5323337,5.9459352,-0.67120326,-5.5370903,-3.226695,-0.26275596,-3.8382597,-0.6387727,11.953291,4.513246,-1.5603366,9.191832,-10.675027,-4.272124,-4.6801386,-2.3206394,-10.204821,-6.220552,-4.664158,2.6805584,-1.3730197,-1.3872163,9.653869,0.25860065,0.7284329,-0.7261849,5.5866637,-5.2527,-1.4560513,0.13652712,1.1815821,-7.609666,0.041278087,13.019544,3.4579997,0.015467839,0.9014091,-8.811198,6.2806644,-1.5766884,-0.23974851,3.8903964,11.809498,-11.792738,-0.0297849,1.7238368,-4.255165,-7.8167143,-13.216346,-1.9213927,0.03964655,3.8678403,10.426273,3.2623398,-6.0268574,0.4822795,6.7099576,0.026825871,-5.014993,-1.6763507,-2.4373481,2.2743692,-11.695636,-8.625432,6.400476,1.4275112,-5.3268123,3.163565,2.5484936,-0.9599513,1.6887631,-0.7605953,-7.4701653,8.016233,1.3503828,1.041198,0.41021672,-2.1148286,-11.318079,9.903256,0.076214306,-0.64723027,8.500094,-7.8608313,0.37562546,3.650368,-2.5303826,2.98605,2.6026065,4.321808,-3.4922338,2.043966,9.028041,-3.2197237,0.57121295,-7.5043654,-0.19871297
3,7.1279173,-0.036877155,-2.640973,-1.0715194,-5.0287995,-9.525889,-3.2923098,-4.949179,2.4871328,-7.828452,9.188483,2.246512,-3.0032418,-1.5630617,-2.6230776,7.212804,4.998452,2.877621,-1.1693032,11.065256,-10.285269,-2.1600652,1.0454761,-1.1110291,-6.9911175,-11.638277,-0.4857145,6.1390724,-1.3070087,0.017174315,10.682365,8.043884,-7.188311,-0.78185827,-1.3957798,11.143385,-15.002365,0.6844281,0.33399117,-4.7452497,-12.535903,-8.296441,0.93487364,0.23887853,-4.83551,-10.894042,-13.727269,-3.0378997,-0.61538947,-4.4862,5.9402924,10.527141,-9.400204,1.354085,-6.648497,7.7139745,10.818535,-8.327857,1.4496315,-1.1586068,-0.83060706,1.1349255,-9.093309,-1.7295833,1.1047016,7.984632,10.449833,9.164496,-0.6491136,3.8199625,-4.3548493,0.6433935,1.6062335,0.86179805,-4.628958,-3.9009426,12.724418,8.212231,-2.5523775,-1.5347348,-3.6138709,-2.1044698,-8.6264925,2.7624774,-4.406662,-6.439297,12.612293,1.4921769,-1.0997432,-2.7018504,-5.8089504,4.7380877,8.487035,-2.4458447,1.4949656,2.599947,1.8961887,-5.880688,5.473651,2.8323545
4,9.250497,-4.1781607,4.196078,-4.256601,5.573176,7.4104896,1.2445673,-0.19239134,-2.5128193,-8.77336,-14.385501,-9.203842,-4.863297,2.7507675,9.47649,-11.987197,-10.563987,5.4982247,1.3353816,9.550743,-9.071699,-15.002773,-1.6572945,-1.966339,5.077344,-14.467597,10.164717,0.3844467,1.2484657,2.2840462,-7.6506934,-3.0807009,-1.2590327,0.16715293,7.8031244,-13.997565,0.38733304,-6.6398377,-0.46414,-6.290473,12.161158,-1.3032123,-4.606495,-0.15996116,-3.5719383,-6.1002207,0.33918527,2.042485,0.49182504,5.1408625,13.828483,-10.463496,-3.3700204,-0.20545636,7.4825964,1.5911765,9.850878,-7.355555,0.91623545,4.341244,6.9029427,4.1939397,1.2235615,1.1636162,2.728719,-11.344674,12.830422,-7.531265,-0.26264042,1.1553109,-9.03612,3.7387366,-2.4741368,1.2609612,-0.65830344,-8.438441,3.4106207,-6.1799693,1.8672594,3.4376745,5.555558,-4.8308144,9.485276,1.527467,-4.531771,-7.8249598,-2.0277963,3.070241,-4.4202657,-0.89202636,-3.7693772,1.8488945,-2.7962322,2.390598,3.2786107,-2.2393525,-7.7143703,3.7195668,-3.103953,-1.3356744
5,8.921962,4.4275165,-1.2537649,0.90184593,-2.495048,-3.3509686,2.8809123,-2.2798233,3.65939,5.9591913,7.0289125,-12.075959,2.792968,-2.2744577,8.130334,5.5266705,10.724418,-0.20326456,-2.0204842,6.0272455,-13.439232,-0.1456997,1.6603094,-0.90453184,8.67183,-2.1893206,8.056343,3.1481788,-0.25579268,-5.158571,12.662233,13.325461,0.033010013,-0.25457987,-7.9260936,-6.9893613,10.837259,6.643363,0.31183803,-6.8716435,-0.3015703,10.233274,5.153609,0.16491732,-2.4176078,4.242869,-6.7804914,4.0053463,-1.3091491,0.45567596,-11.602907,-8.319774,-4.028025,-0.05440578,4.8053756,7.435616,-12.013464,-0.4163686,1.0329651,6.321054,-9.146947,-5.032056,1.562728,-1.5109842,5.434019,-11.100057,13.485722,10.568444,-2.9690793,-0.7919116,5.207831,6.183552,-3.8297305,-0.9025022,5.5491095,5.392378,-9.255685,-7.447032,-1.0177314,1.4875288,2.4212925,-14.532804,4.503076,-0.3395523,3.7909305,12.015789,-10.54057,-11.060191,2.2173688,-0.93816304,-0.5394217,-5.994311,-2.423611,-0.1697897,-1.961778,1.3151901,-0.8429958,3.8689349,2.6033323,2.7629914
