Step,Mean (1-F),Std (1-F)
0,0.7781231045722962,0.10325051818287677
1,0.7781231045722962,0.10325051818287677
2,0.7673119902610779,0.10170621380169827
3,0.7582339644432068,0.11234721123950275
4,0.7422401666641235,0.09524336738999878
5,0.7237930655479431,0.10731316487508548
6,0.6236100792884827,0.10996204344854854
7,0.6007194519042969,0.12301621757161597
8,0.5902554154396057,0.13101346600158897
9,0.5902554154396057,0.13101346600158897
10,0.5791712641716004,0.13978295736953306
11,0.5791712641716004,0.13978295736953306
12,0.5791712641716004,0.13978295736953306
13,0.5701488614082336,0.14601242497120856
14,0.5646415472030639,0.13665703521763364
15,0.5496155977249145,0.14868837096088666
16,0.5466861128807068,0.1516177850749163
17,0.5411422848701477,0.15760918942356889
18,0.4902629733085632,0.20870766172638913
19,0.4850247263908386,0.21008651478619292
20,0.45261741876602174,0.23416265483213372
21,0.43664711713790894,0.2245123849834151
22,0.40960533618927003,0.23445625115765747
23,0.40960533618927003,0.23445625115765747
24,0.40960533618927003,0.23445625115765747
25,0.40960533618927003,0.23445625115765747
26,0.40960533618927003,0.23445625115765747
27,0.39671370983123777,0.21967076011274914
28,0.3956183671951294,0.2178937050192081
29,0.3934535264968872,0.21640152548363506
30,0.3880810379981995,0.21303365743912103
31,0.3845654845237732,0.21506983485518982
32,0.36558725833892824,0.2320666957696483
33,0.36362398862838746,0.23433904044117693
34,0.3448162913322449,0.21049987318702756
35,0.3448162913322449,0.21049987318702756
36,0.32407641410827637,0.22319533768156144
37,0.32407641410827637,0.22319533768156144
38,0.32407641410827637,0.22319533768156144
39,0.32407641410827637,0.22319533768156144
40,0.32407641410827637,0.22319533768156144
41,0.32407641410827637,0.22319533768156144
42,0.32407641410827637,0.22319533768156144
43,0.32407641410827637,0.22319533768156144
44,0.32407641410827637,0.22319533768156144
45,0.31554828882217406,0.22767254837825243
46,0.3073617696762085,0.22001256657255372
47,0.3073617696762085,0.22001256657255372
48,0.29666186571121217,0.21492774622520153
49,0.2885074257850647,0.2006879640203961
50,0.2885074257850647,0.2006879640203961
51,0.28144861459732057,0.1886322082432009
52,0.28144861459732057,0.1886322082432009
53,0.2623065710067749,0.1908055123204708
54,0.2623065710067749,0.1908055123204708
55,0.2623065710067749,0.1908055123204708
56,0.2623065710067749,0.1908055123204708
57,0.2623065710067749,0.1908055123204708
58,0.2623065710067749,0.1908055123204708
59,0.24731487035751343,0.2016862290888589
60,0.24239802360534668,0.20535180928080374
61,0.24239802360534668,0.20535180928080374
62,0.23614344596862788,0.21058685713854378
63,0.2352753646030273,0.21136170199794688
64,0.22743984204345705,0.206196951065563
