Step,Mean (1-F),Std (1-F)
0,0.7320349097251893,0.14480498553706292
1,0.7320349097251893,0.14480498553706292
2,0.6560518860816955,0.24770939315098742
3,0.655015766620636,0.24752304741500775
4,0.6425996065139771,0.25870305450094494
5,0.6425996065139771,0.25870305450094494
6,0.6161106109619141,0.26738152474164945
7,0.6161106109619141,0.26738152474164945
8,0.5930108070373535,0.2572721344047324
9,0.5909559845924377,0.25722721698760387
10,0.5909559845924377,0.25722721698760387
11,0.5824251651763916,0.2576089835970327
12,0.5667665839195252,0.27138163889678696
13,0.5667665839195252,0.27138163889678696
14,0.5524390578269959,0.27583429175985363
15,0.5288022875785827,0.29210668839592063
16,0.5208612796724854,0.2911216673771168
17,0.5144594668707276,0.28826541997013283
18,0.5140791368707276,0.28892486303567844
19,0.5104959704705812,0.28733875214160715
20,0.5046319360608216,0.2866852634920096
21,0.49700445808151245,0.2833748187765846
22,0.4969947460815124,0.28339148437988415
23,0.49697965808151245,0.28341737579143417
24,0.49696133208151244,0.2834488248374393
25,0.48622505225646967,0.28050637692256675
26,0.47143043608840945,0.28157134101559766
27,0.47142697608840944,0.28157701202417457
28,0.46454243696105957,0.2809530042032683
29,0.4639944669610596,0.28184044547607495
30,0.4179107190141601,0.27622769667874186
31,0.40009110046298224,0.2876107271020543
32,0.39649703290390015,0.2820865126138508
33,0.3928014273823547,0.2765197859076857
34,0.3928013573823547,0.2765198835667351
35,0.3899657126325989,0.2763795286294353
36,0.38973272983895874,0.27602668380939926
37,0.38678643890792846,0.2749773791314113
38,0.38678617890792844,0.27497774079526244
39,0.3866444831555481,0.27476428417750187
40,0.3866444831555481,0.27476428417750187
41,0.3470150836953735,0.29680617101642237
42,0.34269775135693364,0.29024706081987295
43,0.33400024334915157,0.2867169128734989
44,0.3339006233491516,0.2868268843935101
45,0.3338711233491516,0.28685946820641217
46,0.3317065693491516,0.2892731188257165
47,0.3317050093491516,0.2892748744439652
48,0.3317021293491516,0.2892781284003609
49,0.32997131215426634,0.28729669570795024
50,0.3299679141542663,0.2873005436616154
51,0.32996609015426637,0.2873026061612737
52,0.3253554132900696,0.2857443722432588
53,0.32535543729006955,0.2857443453437441
54,0.3206439419818115,0.2844986464789867
55,0.31896431424990845,0.2820940367078721
56,0.31896421424990845,0.28209414803183197
57,0.31779770366793825,0.2818126135175721
58,0.31779720166793823,0.28181317228738884
59,0.31629127035473636,0.2795775348185168
60,0.293870128557312,0.27781996268208736
61,0.29386928855731204,0.27782083898576865
62,0.2878957630579224,0.27452512659801187
63,0.2641884652745056,0.2380122620304633
64,0.2632192746434631,0.2373512390725825
65,0.2632192746434631,0.2373512390725825
66,0.26284975064346316,0.23775599558849206
67,0.2628497206434631,0.23775602813558838
68,0.2628497206434631,0.23775602813558838
69,0.2628497206434631,0.23775602813558838
70,0.247239884065094,0.21585144201875475
71,0.247239834065094,0.21585149884780566
72,0.2433179857272339,0.21277000369384194
73,0.24331769572723388,0.2127703286416286
74,0.2433176037272339,0.21277043172873927
