Step,Fidelity
1,0.172318696975708
2,0.172318696975708
3,0.172318696975708
4,0.17352628707885742
5,0.17352628707885742
6,0.24077826738357544
7,0.34762853384017944
8,0.35793495178222656
9,0.35793495178222656
10,0.35793495178222656
11,0.4018234610557556
12,0.4018234610557556
13,0.47524726390838623
14,0.5825775861740112
15,0.5825775861740112
16,0.5825775861740112
17,0.5825775861740112
18,0.5825775861740112
19,0.5825775861740112
20,0.5825775861740112
21,0.5825775861740112
22,0.5825775861740112
23,0.5825775861740112
24,0.5825775861740112
25,0.5825775861740112
26,0.7764164209365845
27,0.7764164209365845
28,0.7764164209365845
29,0.9116532802581787
30,0.9116532802581787
31,0.9116532802581787
32,0.9116532802581787
33,0.9116532802581787
34,0.9116532802581787
35,0.9116532802581787
36,0.9116532802581787
37,0.9116532802581787
38,0.9116532802581787
39,0.9116532802581787
40,0.9116532802581787
41,0.9116532802581787
42,0.9116532802581787
43,0.9202563166618347
44,0.9202563166618347
45,0.9202563166618347
46,0.9202563166618347
47,0.9202563166618347
48,0.9202563166618347
49,0.9202563166618347
50,0.9202563166618347
51,0.9202563166618347
52,0.9384120106697083
53,0.9479873180389404
54,0.9479873180389404
55,0.9479873180389404
56,0.9547208547592163
57,0.9590199
58,0.9692536
59,0.96972513
60,0.9723348
61,0.97411394
62,0.97419685
63,0.9747575
64,0.9769581
65,0.9942911
66,0.99510294
67,0.99581903
68,0.99582034
69,0.99582046
70,0.99582154
71,0.99582154
72,0.99582154
73,0.99582154
74,0.99590033
75,0.9959008
76,0.99590284
77,0.9959381
78,0.9959381
79,0.99594
80,0.9959761
81,0.9959761
82,0.9979073
83,0.9979073
84,0.99790764
85,0.99790764
86,0.99790895
87,0.9979086
88,0.9979086
89,0.9979086
90,0.9979086
91,0.9979086
92,0.9979086
93,0.99790895
94,0.99790895
95,0.99791
96,0.99791
97,0.99791
98,0.99791
99,0.99791
100,0.9979104
101,0.9979104
102,0.9979104
103,0.9979104
104,0.9979106
105,0.9979106
106,0.9979106
107,0.9979106
108,0.9979106
109,0.9979106
110,0.9979106
111,0.9979106
112,0.9979106
113,0.99791026
114,0.99791026
115,0.99791026
116,0.99791026
117,0.99791026
118,0.99791026
119,0.99791026
120,0.99791205
121,0.99791706
122,0.99791706
123,0.99791706
124,0.99791694
125,0.99791694
126,0.99791694
127,0.99832344
128,0.99832344
129,0.99832344
130,0.9983386
131,0.9983386
132,0.9983386
133,0.9983386
134,0.99834013
135,0.99834013
136,0.99834013
137,0.9983399
138,0.9983399
139,0.9983399
140,0.99834275
141,0.99834275
142,0.99834275
143,0.9983564
144,0.9983582
145,0.9983582
146,0.9983582
147,0.9983582
148,0.9983577
149,0.9983576
150,0.9983584
151,0.9983584
152,0.9983584
153,0.9983584
154,0.9983584
155,0.9983584
156,0.9983681
157,0.9983681
158,0.9983681
159,0.9983681
160,0.99836713
161,0.99836856
162,0.99836856
163,0.99836856
164,0.99836856
165,0.99836856
166,0.99837023
167,0.99837023
168,0.9983713
169,0.9983731
170,0.9983731
171,0.9983731
172,0.9983731
173,0.9983731
174,0.99837166
175,0.9983731
176,0.9983731
177,0.9983731
178,0.99837345
179,0.99837345
180,0.99837345
181,0.99837345
182,0.99837345
183,0.99837345
184,0.99837345
185,0.99837345
186,0.99837345
187,0.99837345
188,0.9983718
189,0.99837345
190,0.99837345
191,0.9983733
192,0.9983733
193,0.9983733
194,0.9983943
195,0.9983943
196,0.9983943
197,0.9983943
198,0.9983943
199,0.9983943
200,0.9983943
201,0.9983968
202,0.9983954
203,0.9983968
204,0.9983968
205,0.9983968
206,0.99839693
207,0.9984012
208,0.9984012
209,0.9984012
210,0.9984012
211,0.9984012
212,0.9984012
213,0.9984012
214,0.9984012
215,0.9984012
216,0.9984018
217,0.9984022
218,0.9984022
219,0.99840254
220,0.9984053
221,0.9984059
222,0.9984059
223,0.9984059
224,0.9984059
225,0.9984059
226,0.9984059
227,0.9984059
228,0.9984059
229,0.99840564
230,0.99840564
231,0.99840564
232,0.99840564
233,0.99840564
234,0.99841565
235,0.9984165
236,0.9984165
237,0.9984165
238,0.9984173
239,0.9984179
240,0.9984179
241,0.99841857
242,0.99841857
243,0.9984231
244,0.99842346
245,0.99842346
246,0.99842346
247,0.99842346
248,0.99842346
249,0.9984237
250,0.9984237
251,0.99842644
252,0.9984274
253,0.99842703
254,0.9984274
255,0.9984274
256,0.9984274
257,0.9984274
258,0.9984274
259,0.99899495
260,0.99899495
261,0.99899495
262,0.99899495
263,0.99899495
264,0.99899495
265,0.99899495
266,0.99899495
267,0.9992127
