Channel,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-9.134396,10.916352,-1.3670623,-3.863408,-11.128072,-11.023079,10.291286,-2.9757466,3.4101138,6.544387,-8.268376,-10.897197,1.0199281,0.46109527,-1.7162292,14.056047,-9.639632,-0.06531926,0.027668241,-0.62192494,-13.117512,8.358446,3.7965927,-0.763363,-7.0662975,-3.3389301,2.309588,-3.791707,-0.54194486,7.1024323,-2.272686,1.2620796,2.207487,0.99370253,-0.050321646,-2.951892,-7.2593656,5.3986883,-0.14922476,-5.74071,-2.2885675,1.3444566,-4.040211,-0.00853695,-2.7809796,-6.3714833,-3.2199473,6.839096,0.33513355,8.17816,-11.070689,-4.470816,1.5671155,-0.7560804,-1.8397298,3.7651525,-3.1872647,-0.6343462,0.3393984,-3.1230512,-1.0115681,8.460888,-0.4430944,2.52372,0.48634568,-3.7664192,0.3391786,-3.7048244,-2.384102,-5.8874087,10.963002,-14.141532,6.45383,0.16915822,-5.8262434,8.37772,9.629276,-6.7441435,-3.3969662,1.7255801,-0.09048002,-11.054761,5.4808865,3.037788,-3.5007026,-10.01116,-13.255767,4.797163,-1.7626803,3.8548493,-8.530803,9.3289995,-3.7397447,0.31979886,3.8137715,10.590067,10.7025175,9.446243,3.8143396,-0.007521725
1,3.7778287,-2.0666494,0.8507952,-1.210661,-0.76791185,-13.92427,2.983545,4.1300173,-1.7746329,-7.345056,-13.354086,0.4132553,4.4640827,-1.4678828,-6.730158,4.894131,6.181225,-1.7964164,1.0180525,-3.5348861,11.667658,-5.325179,0.76582634,-1.9414412,-8.149705,5.696068,-13.287207,-0.66766006,0.9718036,5.2628846,-13.588714,1.8121455,-7.665931,0.5753203,8.516482,-13.930432,0.7033521,-3.494728,0.31984183,2.5542877,-6.146137,7.1126184,-1.6688812,-0.14362484,-8.222771,7.517368,-12.7319145,8.173757,0.42241877,2.1175504,-4.821296,9.101899,3.5133457,-1.1198305,-2.7612875,-7.584831,-13.227224,-8.426147,-1.1160157,1.5302904,8.985078,-9.2333145,-8.544709,1.146896,-4.7362366,-13.416839,-0.7473397,-2.4771843,-2.9442954,1.4148874,12.224085,-13.202734,1.015919,2.6945198,-3.4646707,9.781806,-14.173899,5.431764,2.7779472,-0.77061844,0.0971244,-8.261554,4.544082,4.10818,2.7354057,1.1240748,12.012798,3.3269281,1.4391286,1.0122687,4.4675283,3.5221112,8.015715,-2.4548154,3.593421,0.96337044,7.2425346,-8.435289,-3.4982731,-0.95743513
2,8.523556,8.933535,-2.6853638,1.5023633,10.197747,-13.042061,-6.5591755,2.3118217,-2.9114528,3.760493,3.2896738,-4.289545,-1.0777313,-0.3802306,-9.820845,11.192843,11.303016,1.5736014,2.23912,-8.61248,-5.993765,9.3629,-0.96490324,-0.9028922,8.098146,11.891113,3.617995,-6.1140504,0.5744761,-3.5973852,-7.5576444,12.393578,4.768429,0.45573267,-4.6846013,-1.447507,-3.3142152,-5.9176836,-0.4081456,-0.8769055,8.058527,-13.538781,7.7730656,0.17601062,-4.688663,-10.890561,6.2061872,-6.317793,-0.2295986,-7.9156456,-13.31654,-8.727264,2.9289985,-0.95365876,-3.0517273,-10.489635,-12.610678,7.021701,-0.9818925,6.0723104,-10.28775,4.585348,-2.3945262,-0.13638495,2.2116842,-9.778233,-9.374773,-0.709556,-1.717526,-3.608717,-4.2450204,7.393722,4.0238333,2.8671958,-1.514067,8.746835,-15.001208,-0.82908857,-0.7028561,-4.2974086,7.1927104,-3.157242,-9.3187275,0.8931345,3.5977545,-9.169025,7.6915817,12.173854,-2.6962059,3.0279078,8.144534,-10.954645,8.604248,-1.883207,1.1079264,-7.688626,-14.036544,-1.6765021,0.37861213,0.9910668
3,10.040074,5.6566677,1.6818521,-3.2346752,-2.6891775,7.9007154,2.0589228,-1.4697113,-3.310633,9.397926,-0.73233217,12.650746,1.9372218,0.5805728,6.579174,-0.6581385,12.11891,-4.691181,-1.0308039,10.509414,-6.0724144,-10.363517,0.53059304,1.8039993,6.995681,-12.231952,-12.804262,-1.4297018,-1.6799017,-7.1839747,0.42658514,-12.702104,4.061733,-0.50074005,-0.7504165,2.2038596,2.7319891,5.571635,-0.14782098,8.36302,6.803626,-6.2266994,-6.7911797,-0.097821325,0.80851865,13.633762,-0.73291355,-4.7598743,-0.6854314,5.5705047,-8.2810545,8.401101,-3.2643237,0.6837065,3.0328043,-0.7894851,6.894816,9.291068,1.2606058,-4.621685,-0.7531027,7.6075253,-9.237039,-1.6474255,-3.3949337,12.8345995,-10.35711,1.2984755,0.107986234,-1.932959,5.056377,4.6630197,-0.3135328,-3.9455059,-4.1749544,5.933946,6.545314,-11.341018,2.0254858,3.309337,7.0975013,8.9039,3.3853862,-4.6411214,-3.3819711,-9.111987,-13.517165,-11.92771,1.4249802,2.8196654,8.374897,14.363672,4.019623,2.5507934,-2.6392434,5.6534534,-5.646855,-12.241645,3.407716,1.5605074
4,10.861543,3.654417,1.251879,-0.23840438,11.448241,13.806393,6.763055,4.634264,-0.76282084,11.1520405,-14.314315,-10.321094,3.7311654,-2.203095,10.297789,-3.811056,5.782352,-4.5669103,0.55351776,0.6245712,4.321243,0.6803381,6.300469,-1.1693145,4.6985393,-0.07351315,-11.4127,-6.8226657,1.1483241,9.563865,8.124834,10.625799,-6.750683,1.2905363,1.8693945,-3.9796212,12.823078,-1.998966,0.41057587,-2.4379978,-9.293905,-1.7747916,-4.5690484,-0.0952807,-3.2645295,10.708658,13.73445,5.723208,0.28738606,-4.5715647,3.5914116,-10.979494,-2.4912956,-0.22465304,-5.5212603,-12.122515,-13.318388,6.775294,-0.33676967,-4.7848105,8.636383,-13.666599,-8.725839,-1.2176877,5.226344,3.428002,-8.868828,-2.9672515,-2.8777685,5.516762,-6.799856,9.665982,8.855511,-1.6898413,-0.78763205,-11.085485,-11.689545,3.7359407,-0.34294978,3.6641803,10.1636915,-13.961604,-1.9907628,0.046175227,3.4394581,3.8093715,2.5661695,9.980496,-2.5286915,-3.3114908,4.927248,5.76702,4.168546,-0.09328831,1.1011252,-8.366625,-11.605205,4.423918,5.497021,-1.4143499
5,-3.4332292,-2.6539423,1.0682231,-3.364904,-8.785597,1.8790638,-1.2989002,0.25622025,0.14976577,9.693233,5.6622815,-7.17683,0.7259017,0.43328992,-8.828501,11.5906725,-8.20782,-1.9552273,-1.1248515,-8.151982,2.7162244,-5.144632,-0.33629888,2.0579748,-6.088361,-8.170264,-0.45315224,0.2616245,0.8541989,8.87532,-2.960594,-0.5851359,2.417663,-0.5536106,5.192,1.8270996,9.423463,1.0442603,-0.45409438,3.4756064,4.971339,2.6900039,-4.761463,0.19112307,-2.4592137,9.059675,3.8193269,8.010352,0.21606614,-4.3792634,-7.0838118,-5.102764,3.277846,0.6373363,-0.20984133,-2.989283,-4.408841,7.832031,-0.98823214,-5.536971,3.8830001,2.5352643,-8.786881,-2.304414,-6.2885404,-10.733281,11.244531,6.5838604,0.87186766,-6.2191925,6.455065,-12.513496,-6.474516,2.6733763,-0.5602515,-5.4793544,-5.66366,1.2587894,-2.942106,0.5211612,5.176369,4.3424435,-3.9947536,-4.358552,1.2796597,-7.6321807,-0.8959882,9.760901,4.313963,-0.3799915,-2.1392548,-11.992183,-2.3440657,3.6064825,-0.12159447,-3.8990977,-10.846678,7.9912114,-0.74007004,0.76860446
