Episodes,Mean (1-F),Std (1-F)
0,0.7339,0.2259238721339558
1,0.7339,0.2259238721339558
2,0.7339,0.2259238721339558
3,0.7339,0.2259238721339558
4,0.7339,0.2259238721339558
5,0.7339,0.2259238721339558
6,0.7339,0.2259238721339558
7,0.7339,0.2259238721339558
8,0.7339,0.2259238721339558
9,0.7247250000000001,0.24342926796094178
10,0.71555,0.2610506962258481
11,0.7063750000000001,0.2787661537920269
12,0.6972,0.29655879012431924
13,0.6941700000000001,0.29481974580524056
14,0.6911400000000001,0.2930947083566448
15,0.68811,0.2913839265470901
16,0.6850799999999999,0.28968765294134763
17,0.68205,0.28800614388701273
18,0.6790200000000001,0.28633965949550194
19,0.67599,0.28468846361710315
20,0.67296,0.2830528238097381
21,0.6699300000000001,0.281433011301091
22,0.6669,0.27982930094374797
23,0.66387,0.2782419711629909
24,0.66084,0.2766713038968805
25,0.656605,0.276109917806498
26,0.65237,0.2757705979815671
27,0.648135,0.27565416448876656
28,0.6439,0.27576089965362705
29,0.639665,0.2760905446487519
30,0.63543,0.27664230262199596
31,0.6311950000000001,0.27741484827680807
32,0.62696,0.27840634363781613
33,0.622725,0.27961445956888564
34,0.6184899999999999,0.2810364024661416
35,0.614255,0.28266894543106624
36,0.6100199999999999,0.2845084631430144
37,0.6095366666666667,0.284050575387162
38,0.6090533333333333,0.28359524333889036
39,0.6085699999999999,0.2831424793279878
40,0.6080866666666667,0.2826922956934703
41,0.6076033333333333,0.2822447047825305
42,0.6071199999999999,0.2817997189494695
43,0.6066366666666667,0.28135735055461253
44,0.6061533333333333,0.2809176119632073
45,0.6056699999999999,0.2804805155443066
46,0.6051866666666668,0.28004607366963347
47,0.6047033333333334,0.2796142987124307
48,0.60422,0.27918520304629324
49,0.6027983333333333,0.2779387186853326
50,0.6013766666666667,0.276715836514244
51,0.5999549999999999,0.2755168708083046
52,0.5985333333333334,0.27434213513624023
53,0.5971116666666667,0.273191942068413
54,0.5956899999999999,0.2720666028751048
55,0.5942683333333333,0.2709664272152138
56,0.5928466666666667,0.269891722815733
57,0.5914250000000001,0.2688427951424401
58,0.5900033333333333,0.2678199470622837
59,0.5885816666666667,0.2668234784980096
60,0.5871600000000001,0.2658536860756307
61,0.5869899999999999,0.26570881129537277
62,0.58682,0.2655642927804866
63,0.58665,0.2654201311129207
64,0.5864800000000001,0.2652763268744499
65,0.5863099999999999,0.2651328806466674
66,0.58614,0.2649897930109762
67,0.58597,0.26484706454858054
68,0.5858000000000001,0.26470469584047807
69,0.5856299999999999,0.26456268746745065
70,0.58546,0.26442104001005673
71,0.58529,0.26427975404862175
72,0.5851200000000001,0.26413883016323064
73,0.5849233333333332,0.26397625305655387
74,0.5847266666666666,0.2638141622009284
75,0.58453,0.26365255849318053
76,0.5843333333333334,0.2634914428296381
77,0.5841366666666667,0.26333081610611225
78,0.5839399999999999,0.26317067921787946
79,0.5837433333333333,0.26301103305966295
80,0.5835466666666667,0.2628518785256146
81,0.58335,0.2626932165092963
82,0.5831533333333333,0.2625350479036614
83,0.5829566666666667,0.2623773736010363
84,0.5827600000000001,0.2622201944931016
85,0.5759266666666667,0.2571785790284858
86,0.5690933333333333,0.2524010727217915
87,0.56226,0.24790294552505826
88,0.5554266666666667,0.24369966798864906
89,0.5485933333333334,0.23980674478513828
90,0.54176,0.2362395191325956
91,0.5349266666666667,0.23301294995009278
92,0.5280933333333333,0.2301413656381177
93,0.5212600000000001,0.2276382006606097
94,0.5144266666666667,0.2255157234232485
95,0.5075933333333333,0.22378476603895786
96,0.50076,0.22245446815022618
97,0.50076,0.22245446815022618
98,0.50076,0.22245446815022618
99,0.50076,0.22245446815022618
100,0.50076,0.22245446815022618
101,0.50076,0.22245446815022618
102,0.50076,0.22245446815022618
103,0.50076,0.22245446815022618
104,0.50076,0.22245446815022618
105,0.50076,0.22245446815022618
106,0.50076,0.22245446815022618
107,0.50076,0.22245446815022618
108,0.50076,0.22245446815022618
109,0.49956999999999996,0.22448938415880604
110,0.49838000000000005,0.22653102568963926
111,0.49718999999999997,0.22857921252817373
112,0.4959999999999999,0.2306337702939446
113,0.4959999999999999,0.2306337702939446
114,0.4959999999999999,0.2306337702939446
115,0.4959999999999999,0.2306337702939446
116,0.4959999999999999,0.2306337702939446
117,0.4959999999999999,0.2306337702939446
118,0.4959999999999999,0.2306337702939446
119,0.4959999999999999,0.2306337702939446
120,0.4959999999999999,0.2306337702939446
121,0.49239,0.2369037787794868
122,0.48878000000000005,0.24322648211080966
123,0.48516999999999993,0.24959787579224305
124,0.48156,0.2560143245992302
125,0.48156,0.2560143245992302
126,0.48156,0.2560143245992302
127,0.48156,0.2560143245992302
128,0.48156,0.2560143245992302
129,0.48156,0.2560143245992302
130,0.48156,0.2560143245992302
131,0.48156,0.2560143245992302
132,0.48156,0.2560143245992302
133,0.48156,0.2560143245992302
134,0.48156,0.2560143245992302
135,0.48156,0.2560143245992302
136,0.48156,0.2560143245992302
137,0.48156,0.2560143245992302
138,0.48156,0.2560143245992302
139,0.48156,0.2560143245992302
140,0.48156,0.2560143245992302
141,0.48156,0.2560143245992302
142,0.48156,0.2560143245992302
143,0.48156,0.2560143245992302
