wg_dist [um],avg_final_episode,avg_final_best_F
0.25,951.0,0.9994125894183525
0.5,241.0,0.9992738065426238
1.0,1445.0,0.999192051612772
2.0,3403.0,0.9988598275580444
4.0,2675.0,0.9984972236386966
