Episodes,Best Fidelity
0,0.10398638248443604
1,0.10398638248443604
2,0.2928251028060913
3,0.2928251028060913
4,0.2928251028060913
5,0.32619982957839966
6,0.32619982957839966
7,0.32619982957839966
8,0.32619982957839966
9,0.32619982957839966
10,0.32619982957839966
11,0.32619982957839966
12,0.32619982957839966
13,0.32619982957839966
14,0.32619982957839966
15,0.32619982957839966
16,0.32795214653015137
17,0.32795214653015137
18,0.32795214653015137
19,0.32795214653015137
20,0.32795214653015137
21,0.32795214653015137
22,0.32795214653015137
23,0.32795214653015137
24,0.32795214653015137
25,0.32795214653015137
26,0.32795214653015137
27,0.32795214653015137
28,0.32795214653015137
29,0.32795214653015137
30,0.32795214653015137
31,0.32795214653015137
32,0.32795214653015137
33,0.32795214653015137
34,0.32795214653015137
35,0.32795214653015137
36,0.32795214653015137
37,0.32795214653015137
38,0.32795214653015137
39,0.32795214653015137
40,0.32795214653015137
41,0.32795214653015137
42,0.32795214653015137
43,0.32795214653015137
44,0.32795214653015137
45,0.32795214653015137
46,0.32795214653015137
47,0.32795214653015137
48,0.32795214653015137
49,0.32795214653015137
50,0.34169113636016846
51,0.34169113636016846
52,0.34169113636016846
53,0.34169113636016846
54,0.4401334524154663
55,0.4401334524154663
56,0.4401334524154663
57,0.4401334524154663
58,0.4401334524154663
59,0.4401334524154663
60,0.4401334524154663
61,0.4401334524154663
62,0.4401334524154663
63,0.4401334524154663
64,0.4401334524154663
65,0.4401334524154663
66,0.4401334524154663
67,0.4401334524154663
68,0.4401334524154663
69,0.4401334524154663
70,0.4401334524154663
71,0.4401334524154663
72,0.4401334524154663
73,0.4401334524154663
74,0.4401334524154663
75,0.4401334524154663
76,0.4401334524154663
77,0.4401334524154663
78,0.4401334524154663
79,0.4401334524154663
80,0.4401334524154663
81,0.4401334524154663
82,0.4401334524154663
83,0.4401334524154663
84,0.4401334524154663
85,0.4401334524154663
86,0.4401334524154663
87,0.4401334524154663
88,0.4401334524154663
89,0.4401334524154663
90,0.4401334524154663
91,0.4401334524154663
92,0.4401334524154663
93,0.4401334524154663
94,0.4401334524154663
95,0.4401334524154663
96,0.4401334524154663
97,0.4401334524154663
98,0.4401334524154663
99,0.4401334524154663
100,0.4401334524154663
101,0.4401334524154663
102,0.4401334524154663
103,0.4401334524154663
104,0.4401334524154663
105,0.4401334524154663
106,0.4401334524154663
107,0.4401334524154663
108,0.4401334524154663
109,0.4401334524154663
110,0.4401334524154663
111,0.4401334524154663
112,0.4401334524154663
113,0.4401334524154663
114,0.4401334524154663
115,0.4401334524154663
116,0.4401334524154663
117,0.4401334524154663
118,0.4401334524154663
119,0.4401334524154663
120,0.4401334524154663
121,0.4401334524154663
122,0.4401334524154663
123,0.4401334524154663
124,0.4401334524154663
125,0.4401334524154663
126,0.4401334524154663
127,0.4401334524154663
128,0.4401334524154663
129,0.4401334524154663
130,0.4401334524154663
131,0.4401334524154663
132,0.4401334524154663
133,0.4401334524154663
134,0.4401334524154663
135,0.4401334524154663
136,0.4401334524154663
137,0.4401334524154663
138,0.4401334524154663
139,0.4401334524154663
140,0.4401334524154663
141,0.4401334524154663
142,0.4401334524154663
143,0.4401334524154663
144,0.4401334524154663
145,0.4401334524154663
146,0.4401334524154663
147,0.4401334524154663
148,0.4401334524154663
149,0.4401334524154663
150,0.4401334524154663
151,0.4401334524154663
152,0.4401334524154663
153,0.4401334524154663
154,0.4401334524154663
155,0.4401334524154663
156,0.4401334524154663
157,0.4401334524154663
158,0.4401334524154663
159,0.4401334524154663
160,0.4401334524154663
161,0.4401334524154663
162,0.4401334524154663
163,0.4401334524154663
164,0.4401334524154663
165,0.4401334524154663
166,0.4401334524154663
167,0.4401334524154663
168,0.4401334524154663
169,0.4401334524154663
170,0.4401334524154663
171,0.4401334524154663
172,0.4401334524154663
173,0.4401334524154663
174,0.4401334524154663
175,0.4401334524154663
176,0.4401334524154663
177,0.4401334524154663
178,0.4401334524154663
179,0.4401334524154663
180,0.4401334524154663
181,0.4401334524154663
182,0.4401334524154663
183,0.4401334524154663
184,0.4401334524154663
185,0.4401334524154663
186,0.4401334524154663
187,0.4401334524154663
188,0.4401334524154663
189,0.4401334524154663
190,0.4401334524154663
191,0.4401334524154663
192,0.4401334524154663
193,0.4401334524154663
194,0.4401334524154663
195,0.4401334524154663
196,0.4401334524154663
197,0.4401334524154663
198,0.4401334524154663
199,0.4401334524154663
200,0.4401334524154663
201,0.4401334524154663
202,0.4401334524154663
203,0.4401334524154663
204,0.4401334524154663
205,0.4401334524154663
206,0.4401334524154663
207,0.4401334524154663
208,0.4401334524154663
209,0.4401334524154663
210,0.4401334524154663
211,0.4401334524154663
212,0.4401334524154663
213,0.4401334524154663
214,0.4401334524154663
215,0.4401334524154663
216,0.4401334524154663
217,0.4401334524154663
218,0.4401334524154663
219,0.4401334524154663
220,0.4401334524154663
221,0.4401334524154663
222,0.4401334524154663
223,0.4401334524154663
224,0.4401334524154663
225,0.4401334524154663
226,0.4401334524154663
227,0.4401334524154663
228,0.4401334524154663
229,0.4401334524154663
230,0.4401334524154663
231,0.4401334524154663
232,0.4401334524154663
233,0.4401334524154663
234,0.4401334524154663
235,0.4401334524154663
236,0.4401334524154663
237,0.4401334524154663
238,0.4401334524154663
239,0.4401334524154663
240,0.4401334524154663
241,0.4401334524154663
242,0.4401334524154663
243,0.4401334524154663
244,0.4401334524154663
245,0.4401334524154663
246,0.4401334524154663
247,0.4401334524154663
248,0.4401334524154663
249,0.4401334524154663
250,0.4401334524154663
251,0.4401334524154663
