Channel,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,14.6671505,-2.5255408,3.4626513,-3.0506039,8.998065,4.6439447,-6.805595,4.58976,-3.1700387,-10.432044,-0.48184168,11.74668,4.6119533,-0.5360495,6.7724595,-1.827582,-3.5867305,3.495508,-0.3152943,5.9523416,-8.15419,9.612787,5.5864744,1.277641,9.362208,-9.114767,12.340725,-2.960443,0.15950373,2.3529127,-13.227485,-6.2267265,-7.090632,0.17628725,-7.9434094,-8.469364,6.1533594,6.602094,-0.3317479,-5.813901,5.2866745,1.6646636,1.3227327,-0.01726964,5.8451815,-5.467465,-2.2741268,-9.235005,0.01627439,7.7787185,-10.825215,-3.2770486,7.386596,0.7523041,2.2817583,9.916578,-8.027613,-4.3712916,-0.99510086,-5.7578516,0.6374206,0.5448861,3.6938279,0.1592713,3.1877875,12.653082,7.8024564,-1.1262385,-2.2132776,2.2439225,11.180035,-5.7104006,7.8829427,0.8848559,2.3801205,6.2284317,3.2038572,0.24524447,-3.9775426,-1.3407623,11.881627,-3.7453134,9.688698,-3.044446,-4.4836917,8.200343,-4.9895053,2.8294778,3.5353458,-1.0675695,-9.046769,9.125391,-3.7202072,-2.8383174,-2.296375,-9.633461,9.397732,-12.611108,-1.2258894,-0.21912575
1,-4.129358,8.718884,3.5530798,-2.7416434,5.3288546,8.63055,11.253326,-0.66716504,-1.7177587,3.3124468,4.798614,11.2688675,5.5039244,0.17526743,-2.5847275,-4.1783934,1.6530387,6.777618,1.6977543,-5.7562675,1.2475743,-12.616758,1.302785,1.3036077,1.7053126,-9.658707,2.8889456,-4.928735,0.794842,9.055859,-6.210302,-0.7583001,0.70038104,-0.60633606,8.349093,-7.118284,8.459734,-1.9501842,-0.27235374,8.6411295,4.28819,2.1662295,8.624981,0.2489845,1.5898604,8.531842,-8.402237,-9.21986,1.786583,0.80141115,7.176154,-12.925441,1.6130682,-0.98316693,-5.200988,1.6417115,-14.148339,-6.0553226,0.79101926,7.084084,-4.8447795,14.077144,-7.450046,-1.4459543,-0.27839643,-11.25885,11.737062,6.3859754,-2.2436817,3.508405,-1.8922476,14.918556,6.8745813,-0.22633725,2.2172515,-9.893937,-1.2818624,-1.867661,-1.1749486,-4.2117667,-9.337533,-14.932868,4.285627,-1.1535718,0.57986474,4.702096,-6.8638706,5.333679,1.2696931,-3.2424936,-2.2680593,12.526941,-9.279645,-1.3900453,3.06502,2.9443345,-13.612186,4.4559793,-1.8087074,0.27218115
2,4.2467113,0.91747713,-3.7008083,0.82930416,0.9931092,-2.1864746,12.219015,1.9680197,-0.16264176,-1.797986,2.1706672,-7.7948008,-2.5789785,1.9894716,5.001851,-11.374845,-10.279979,-4.905483,2.2588267,-7.7864876,4.058645,10.164534,-2.2108107,-1.7226404,-9.338867,4.385531,2.370981,5.526696,0.6477117,-7.710584,13.274132,-12.746956,3.6399255,-1.1632466,-8.582552,-8.68985,-10.89841,8.229898,-0.48190534,6.261853,8.6015625,-4.930479,-6.5727973,-0.90969396,-3.1347933,6.7799954,-4.880096,5.2658515,0.4176706,-7.7554092,-3.09864,-2.3951437,4.9168897,-0.7547,0.89823955,10.515155,-2.2870274,-0.9490527,1.3690418,-2.815003,0.57883024,8.090398,-6.7860336,1.9728587,4.360267,-8.336892,2.2785192,10.688074,2.0292091,-6.3294563,9.3727455,4.6681843,-8.501987,-2.8314855,-1.7891657,-1.0540471,9.769318,10.6748705,-3.1855412,-3.5843868,-10.86039,4.9011927,11.235915,-1.8926127,3.0036528,-8.650383,10.057174,3.4163816,-2.7188365,-0.6067221,0.9102981,6.132434,-4.5114255,2.5892198,-0.2857893,0.9024962,13.599473,-7.064588,4.391752,1.4765345
3,8.149291,-6.9251723,-1.3609115,3.2568588,8.073044,-10.220865,-4.004791,-0.19358036,1.3925499,-0.8148872,-12.583043,-12.783139,-5.906558,0.8568561,10.519092,5.382834,10.731511,0.900928,0.029987326,8.310116,-12.008386,10.635455,1.9571888,-1.9721258,9.131345,10.204652,13.344966,5.8783565,0.8695861,4.822496,6.1829166,-10.353963,5.4575486,0.23448145,6.4940963,13.194294,-2.6290207,-8.263528,0.8715538,-5.491642,-5.087493,-5.6988993,-3.5788016,-0.28467822,7.9172583,2.016774,5.102647,5.5454917,0.614058,7.2754345,7.4567895,4.7398643,-9.496863,-0.9914544,6.1593795,-11.282353,6.9875546,8.43091,-0.70033455,-2.6410334,-5.6053386,0.6416171,-2.7617593,-0.6703884,1.2916346,14.993176,1.6095144,9.230679,-0.4756292,-5.8922424,-4.5317073,4.393623,-9.857811,0.5946761,2.7982807,-1.7773023,6.5261946,-2.1577828,-2.2037537,-0.69422454,0.8915034,2.999104,-10.153465,3.559043,-0.97886986,-7.9635735,-8.3604555,-4.4205656,-1.2811399,0.80967814,9.311882,2.4197035,5.8267303,-3.569326,-1.5058911,10.699763,4.012832,-8.617957,4.7358356,0.9223889
4,8.39931,2.5503056,1.2749554,-3.234509,0.8089349,-14.765745,-1.5581245,1.4874072,-1.6169523,10.61574,-14.918633,9.323592,0.28889066,-2.8106263,-0.37510714,6.964668,-11.250103,6.0283046,2.35112,-3.658096,-4.394494,-7.3266163,3.613231,0.52225846,-6.7108307,5.0359893,-12.14186,-5.1289372,1.3697015,5.3845615,14.1610365,-1.5094321,-0.01951472,-0.44289568,-1.237612,-4.0800576,-0.77025074,6.6546655,0.14548108,4.385344,-8.813186,2.0275865,-0.9954827,-0.15613155,2.6144812,-10.400462,10.908994,8.963777,0.7793673,-4.5621867,3.3822808,9.501721,1.3356478,-0.84348965,-3.8764174,8.687511,-9.631123,-8.754127,1.4697099,-5.152663,-7.399768,4.5862064,3.931314,0.09502285,4.861688,9.050028,-7.773621,7.1930375,-2.2608767,0.9842264,-12.441989,-5.170821,-8.741582,1.1606207,-5.344819,1.0766255,-14.436463,4.0021176,-0.28395382,1.4381065,-7.5503306,6.0115666,-1.780343,-2.0339353,1.5822299,-0.6275416,-3.6423557,10.895901,3.5701418,2.9180024,10.923004,7.228736,-11.177811,-2.425643,-0.97385037,-1.1577328,8.681185,8.301027,0.6082561,0.44276446
5,-12.107782,-9.00042,-3.955636,-1.1313119,-2.3570251,-11.076623,-6.533888,2.7171733,-0.36914393,3.0137348,8.980432,-7.8517156,0.13484411,-2.7005043,-8.761657,-1.3292603,2.4269886,-0.3826035,1.0574961,7.1418123,0.40641093,-10.994386,6.282419,-2.6706436,6.8759747,-12.1949,11.032502,-6.407258,-1.5474029,-9.631956,-0.19520582,8.695346,2.4750137,-1.2231371,5.17894,6.966961,6.264772,-2.2125013,-0.16724952,-9.1131935,3.5100343,-9.70651,0.57524407,-0.34234288,2.5699792,-2.7672586,13.465927,4.7849627,0.19132483,4.3353276,-13.030399,2.9745665,0.25389117,-0.9267259,0.114119686,8.113335,-13.362242,-3.9548216,0.535849,-1.3925351,-7.004715,12.062742,0.08305983,1.3607124,-3.3540835,1.1060525,-14.556064,-1.499724,1.3885988,2.806072,-7.4110403,9.891514,6.23503,-2.622946,-3.3070533,-8.770501,-14.749465,1.1790522,3.8484354,-3.1134343,-7.6678967,0.5931087,-4.236979,-0.9178155,-4.2877975,10.300688,-14.536772,6.1231565,-3.0145373,-2.7179193,6.7424774,-12.091781,-9.454585,0.40518683,0.44432616,7.463403,-1.5165193,6.0201154,-4.651601,0.72770816
